parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
cv,5,5,5,5,5,5,5,5,5
iterations,50,100,50,50,100,50,50,50,100
num_col,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,accuracy,accuracy
boost_from_average,True,True,True,True,True,True,True,True,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,dart,gbdt
class_weight,,,,,,,,,
colsample_bytree,0.8145099616073985,0.8145099616073985,0.9359342779324435,0.8380491611167996,0.8380491611167996,0.7148739775568239,0.5818035893192751,0.825575143291297,1.0
force_col_wise,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.0001,0.0001,0.0017576547978571289,0.00039792396264561297,0.00039792396264561297,0.00031074863808957853,0.0003952711851453308,0.00021420210073375294,0.0007579660759230257
max_bin,381,381,252,100,100,726,513,500,1000
max_depth,48,48,36,50,50,50,27,47,13
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,12,12,13,5,5,18,25,27,40
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2174,2174,4050,6000,6000,700,3821,2190,700
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,10,9,4,4,5,13,14,6
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,1.9217211556399487,0.0,0.0,0.4486207568696019,0.9963466755148147,2.0,1.77191329407297
reg_lambda,2.492071028390437,2.492071028390437,0.943330094769705,0.7645831316446944,0.7645831316446944,1.760764091103952,4.840870869953664,5.0,0.8034311549418617
scale_pos_weight,0.873336348112858,0.873336348112858,0.2958359546188264,0.5975594559629525,0.5975594559629525,0.7158873940169657,0.6684512344586391,1.728673918754103,2.0
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9804887719734224,0.9804887719734224,0.4503463035561355,1.0,1.0,0.5090074080629423,0.6487712293279236,0.9275096278637796,0.8781964807793708
subsample_for_bin,258602,258602,319309,500000,500000,233222,666206,290769,350231
subsample_freq,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0
best_score,0.6961904761904762,0.6961904761904762,0.6333333333333332,0.6556410256410257,0.6556410256410257,0.7,0.6592857142857143,0.5954751131221718,0.595550527903469
best_index,23.0,23.0,40.0,17.0,17.0,22.0,5.0,32.0,69.0
acc_train,0.7003891050583657,0.7003891050583657,0.8404669260700389,0.7509727626459144,0.7509727626459144,0.5719844357976653,0.7704280155642024,0.7392996108949417,0.6848249027237354
acc_val,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.631578947368421
acc_test,0.5,0.5,0.5454545454545454,0.5909090909090909,0.5909090909090909,0.5454545454545454,0.5,0.45454545454545453,0.3181818181818182
train_precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.660377358490566,0.6081871345029239
train_tn,139.0,139.0,139.0,139.0,139.0,139.0,139.0,85.0,72.0
train_fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,67.0
train_fn,77.0,77.0,41.0,64.0,64.0,110.0,59.0,13.0,14.0
train_tp,41.0,41.0,77.0,54.0,54.0,8.0,59.0,105.0,104.0
val_precision,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.0,0.5,0.5625,0.6111111111111112
val_tn,7.0,7.0,8.0,7.0,7.0,8.0,6.0,1.0,1.0
val_fp,1.0,1.0,0.0,1.0,1.0,0.0,2.0,7.0,7.0
val_fn,9.0,9.0,9.0,10.0,10.0,11.0,9.0,2.0,0.0
val_tp,2.0,2.0,2.0,1.0,1.0,0.0,2.0,9.0,11.0
test_precision,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4444444444444444,0.3333333333333333
recall,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.8,0.5
f1score,0.0,0.0,0.28571428571428575,0.30769230769230765,0.30769230769230765,0.0,0.0,0.5714285714285714,0.4
roc,0.4583333333333333,0.4583333333333333,0.5166666666666667,0.5583333333333332,0.5583333333333332,0.5,0.4583333333333333,0.48333333333333334,0.3333333333333333
test_tn,11.0,11.0,10.0,11.0,11.0,12.0,11.0,2.0,2.0
test_fp,1.0,1.0,2.0,1.0,1.0,0.0,1.0,10.0,10.0
test_fn,10.0,10.0,8.0,8.0,8.0,10.0,10.0,2.0,5.0
test_tp,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8.0,5.0
