parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
cv,3,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,True,True,True,False,False,False,False,False
boosting_type,gbdt,gbdt,dart,gbdt,dart,dart,dart,dart,dart
class_weight,,,,,,,,,
colsample_bytree,0.5,0.8641026100818975,1.0,0.508611004659533,0.6349965096909176,0.5872163287988909,0.9211308535371822,0.8029793773735725,0.5872163287988909
force_col_wise,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.0013766816053667245,0.00034592005834601947,0.0009285996404243803,0.0004221187017330248,0.0008134618183567951,0.0029341058142091326,0.001553909851468195,0.00216666414734584,0.0029341058142091326
max_bin,202,866,123,816,970,100,515,321,100
max_depth,36,36,50,7,50,50,32,43,50
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,40,40,21,5,5,40,12,40,40
min_child_weight,0.001,0.001,10.0,3.249684337973235,2.3633700503791553,4.0,2.550897204432608,1.3465657631827328,4.0
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3409,4161,2971,700,700,1770,1434,4038,1770
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,6,13,18,14,3,11,11,17,11
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,1.630344369401855,1.2718857589784287,1.172484348248382,0.0,0.10355090250188377,1.3784654447000133,1.0833499004965685,1.0754902987343615,1.3784654447000133
reg_lambda,2.885843339594795,2.0,0.5332486187572537,0.0,0.0,0.7051971373805433,0.0,1.5149793708517016,0.7051971373805433
scale_pos_weight,0.5981268227625482,0.6434884650739574,0.8043995129604093,0.8459356162484479,0.7167184863157041,0.8968415889739585,0.4349586613454854,0.7460680737482805,0.8968415889739585
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9218561385324806,0.7824244884377904,0.8928452478676088,0.005,0.40854280381195046,0.24511697096216847,0.27546254171937845,0.2356809618914336,0.24511697096216847
subsample_for_bin,255026,500000,496726,500000,100000,106488,705322,100000,106488
subsample_freq,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0
best_score,0.7128205128205128,0.6805555555555555,0.75,0.5589225589225589,0.6241830065359477,0.5980392156862745,0.6628205128205128,0.5910507792860734,0.5980392156862745
best_index,41.0,40.0,38.0,42.0,33.0,34.0,44.0,42.0,34.0
acc_train,0.7512437810945274,0.6567164179104478,0.7313432835820896,0.8159203980099502,0.6616915422885572,0.7910447761194029,0.7412935323383084,0.8109452736318408,0.7910447761194029
acc_val,0.5294117647058824,0.5490196078431373,0.47058823529411764,0.49019607843137253,0.49019607843137253,0.45098039215686275,0.45098039215686275,0.5294117647058824,0.45098039215686275
acc_test,0.515625,0.53125,0.546875,0.515625,0.59375,0.640625,0.53125,0.546875,0.640625
train_precision,0.9565217391304348,0.8484848484848485,0.7794117647058824,1.0,0.7857142857142857,0.7976190476190477,0.9347826086956522,0.9090909090909091,0.7976190476190477
train_tn,107.0,104.0,94.0,109.0,100.0,92.0,106.0,103.0,92.0
train_fp,2.0,5.0,15.0,0.0,9.0,17.0,3.0,6.0,17.0
train_fn,48.0,64.0,39.0,37.0,59.0,25.0,49.0,32.0,25.0
train_tp,44.0,28.0,53.0,55.0,33.0,67.0,43.0,60.0,67.0
val_precision,0.42857142857142855,0.5,0.35714285714285715,0.2857142857142857,0.38461538461538464,0.3684210526315789,0.2727272727272727,0.46153846153846156,0.3684210526315789
val_tn,24.0,25.0,19.0,23.0,20.0,16.0,20.0,21.0,16.0
val_fp,4.0,3.0,9.0,5.0,8.0,12.0,8.0,7.0,12.0
val_fn,20.0,20.0,18.0,21.0,18.0,16.0,20.0,17.0,16.0
val_tp,3.0,3.0,5.0,2.0,5.0,7.0,3.0,6.0,7.0
test_precision,0.5,0.5714285714285714,0.55,0.5,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5555555555555556,0.6666666666666666
recall,0.12903225806451613,0.12903225806451613,0.3548387096774194,0.12903225806451613,0.3225806451612903,0.5161290322580645,0.1935483870967742,0.3225806451612903,0.5161290322580645
f1score,0.20512820512820512,0.2105263157894737,0.43137254901960786,0.20512820512820512,0.4347826086956521,0.5818181818181819,0.2857142857142857,0.40816326530612246,0.5818181818181819
roc,0.5039100684261975,0.5190615835777125,0.5410557184750734,0.5039100684261975,0.5855327468230693,0.6368523949169109,0.5210166177908113,0.5400782013685239,0.6368523949169109
test_tn,29.0,30.0,24.0,29.0,28.0,25.0,28.0,25.0,25.0
test_fp,4.0,3.0,9.0,4.0,5.0,8.0,5.0,8.0,8.0
test_fn,27.0,27.0,20.0,27.0,21.0,15.0,25.0,21.0,15.0
test_tp,4.0,4.0,11.0,4.0,10.0,16.0,6.0,10.0,16.0
acc_test1,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.8095238095238095
precision1,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5,0.6666666666666666,0.6,0.6,0.6666666666666666
recall1,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666
f1score1,0.25,0.4444444444444444,0.6153846153846153,0.4444444444444444,0.4,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.6666666666666666
roc1,0.55,0.6333333333333333,0.7333333333333333,0.6333333333333333,0.6,0.7666666666666666,0.6833333333333333,0.6833333333333333,0.7666666666666666
tn1,14.0,14.0,12.0,14.0,13.0,13.0,13.0,13.0,13.0
fp1,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
fn1,5.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0
tp1,1.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0
acc_test2,0.38095238095238093,0.42857142857142855,0.47619047619047616,0.3333333333333333,0.6190476190476191,0.6190476190476191,0.38095238095238093,0.47619047619047616,0.6190476190476191
precision2,0.5,0.6666666666666666,0.625,0.3333333333333333,0.8571428571428571,0.7272727272727273,0.5,0.625,0.7272727272727273
recall2,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.46153846153846156,0.6153846153846154,0.15384615384615385,0.38461538461538464,0.6153846153846154
f1score2,0.23529411764705882,0.25,0.4761904761904762,0.125,0.6,0.6666666666666667,0.23529411764705882,0.4761904761904762,0.6666666666666667
roc2,0.45192307692307687,0.5144230769230769,0.5048076923076923,0.4134615384615385,0.6682692307692308,0.6201923076923077,0.45192307692307687,0.5048076923076923,0.6201923076923077
tn2,6.0,7.0,5.0,6.0,7.0,5.0,6.0,5.0,5.0
fp2,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0
fn2,11.0,11.0,8.0,12.0,7.0,5.0,11.0,8.0,5.0
tp2,2.0,2.0,5.0,1.0,6.0,8.0,2.0,5.0,8.0
acc_test3,0.45454545454545453,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.45454545454545453,0.5,0.45454545454545453,0.4090909090909091,0.5
precision3,0.5,0.0,0.4,0.5,0.5,0.5714285714285714,0.5,0.4,0.5714285714285714
recall3,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333
f1score3,0.14285714285714285,0.0,0.23529411764705882,0.14285714285714285,0.25,0.4210526315789474,0.14285714285714285,0.23529411764705882,0.4210526315789474
roc3,0.49166666666666664,0.45,0.43333333333333335,0.49166666666666664,0.4833333333333334,0.5166666666666666,0.49166666666666664,0.43333333333333335,0.5166666666666666
tn3,9.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,7.0
fp3,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0
fn3,11.0,12.0,10.0,11.0,10.0,8.0,11.0,10.0,8.0
tp3,1.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0
