parameter,value1,value2,value3,value4,value5,value6,value7
boosting_type,dart,gbdt,dart,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,
colsample_bytree,0.528987135942054,0.49898437007873314,0.528987135942054,0.49898437007873314,0.49898437007873314,0.49898437007873314,0.49898437007873314
importance_type,split,split,split,split,split,split,split
learning_rate,0.0028055967090060275,0.0003304939642148201,0.0028055967090060275,0.0003304939642148201,0.0003304939642148201,0.0003304939642148201,0.0003304939642148201
max_depth,21,29,21,29,29,29,29
min_child_samples,17,19,17,19,19,19,19
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,4854,5903,3536,8381,8381,8381,8381
n_jobs,-1,-1,-1,-1,-1,-1,-1
num_leaves,9,7,9,7,7,7,7
objective,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,
reg_alpha,0.5,1.3,0.5,1.3,1.3,1.3,1.3
reg_lambda,0.5,0.1,0.5,0.1,0.1,0.1,0.1
silent,warn,warn,warn,warn,warn,warn,warn
subsample,0.9860608005968848,0.5597576125719046,0.9860608005968848,0.5597576125719046,0.5597576125719046,0.5597576125719046,0.5597576125719046
subsample_for_bin,116672,439614,116672,439614,864131,864131,864131
subsample_freq,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true
max_bin,745,146,745,146,146,146,146
scale_pos_weight,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002
cv,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110
iterations,10,10,10,10,10,10,15
best_score,0.6428030303030303,0.5061111111111112,0.5306060606060605,0.5062337662337663,0.5062337662337663,0.5062337662337663,0.5062337662337663
best_index,4.0,7.0,4.0,7.0,7.0,7.0,7.0
acc_train,1.0,0.8972602739726028,0.9726027397260274,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684
acc_val,0.45454545454545453,0.5675675675675675,0.5945945945945946,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406
acc_test,0.5636363636363636,0.6304347826086957,0.5652173913043478,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783
precision,0.6875,0.7391304347826086,0.6666666666666666,0.75,0.75,0.75,0.75
recall,0.6111111111111112,0.6071428571428571,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
f1score,0.6470588235294118,0.6666666666666666,0.6153846153846153,0.6923076923076924,0.6923076923076924,0.6923076923076924,0.6923076923076924
roc,0.5423976608187134,0.636904761904762,0.5634920634920635,0.6547619047619049,0.6547619047619049,0.6547619047619049,0.6547619047619049
tn,9.0,12.0,10.0,12.0,12.0,12.0,12.0
fp,10.0,6.0,8.0,6.0,6.0,6.0,6.0
fn,14.0,11.0,12.0,10.0,10.0,10.0,10.0
tp,22.0,17.0,16.0,18.0,18.0,18.0,18.0
acc_test1,0.5555555555555556,0.6,0.6,0.6,0.6,0.6,0.6
precision1,0.7777777777777778,0.6666666666666666,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
recall1,0.5384615384615384,0.8,0.7,0.8,0.8,0.8,0.8
f1score1,0.6363636363636364,0.7272727272727272,0.7,0.7272727272727272,0.7272727272727272,0.7272727272727272,0.7272727272727272
roc1,0.5692307692307692,0.5,0.55,0.5,0.5,0.5,0.5
tn1,3.0,1.0,2.0,1.0,1.0,1.0,1.0
fp1,2.0,4.0,3.0,4.0,4.0,4.0,4.0
fn1,6.0,2.0,3.0,2.0,2.0,2.0,2.0
tp1,7.0,8.0,7.0,8.0,8.0,8.0,8.0
acc_test2,0.5555555555555556,0.6,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
precision2,0.6363636363636364,0.75,0.5714285714285714,0.8,0.8,0.8,0.8
recall2,0.6363636363636364,0.375,0.5,0.5,0.5,0.5,0.5
f1score2,0.6363636363636364,0.5,0.5333333333333333,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
roc2,0.5324675324675324,0.6160714285714286,0.5357142857142857,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286
tn2,3.0,6.0,4.0,6.0,6.0,6.0,6.0
fp2,4.0,1.0,3.0,1.0,1.0,1.0,1.0
fn2,4.0,5.0,4.0,4.0,4.0,4.0,4.0
tp2,7.0,3.0,4.0,4.0,4.0,4.0,4.0
acc_test3,0.5789473684210527,0.6875,0.5625,0.6875,0.6875,0.6875,0.6875
precision3,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
recall3,0.6666666666666666,0.6,0.5,0.6,0.6,0.6,0.6
f1score3,0.6666666666666666,0.7058823529411764,0.588235294117647,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764
roc3,0.5476190476190477,0.7166666666666668,0.5833333333333334,0.7166666666666668,0.7166666666666668,0.7166666666666668,0.7166666666666668
tn3,3.0,5.0,4.0,5.0,5.0,5.0,5.0
fp3,4.0,1.0,2.0,1.0,1.0,1.0,1.0
fn3,4.0,4.0,5.0,4.0,4.0,4.0,4.0
tp3,8.0,6.0,5.0,6.0,6.0,6.0,6.0
