parameter,value1,value2
cv,3,3
iterations,50,50
num_col,98,98
scoring,precision,accuracy
boost_from_average,True,False
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.06725902934114698,0.3468140200620465
force_col_wise,true,true
importance_type,split,split
learning_rate,0.0008480630832926448,0.00019052490748347692
max_bin,269,179
max_depth,26,46
metric,binary_logloss,binary_logloss
min_child_samples,11,27
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2541,1546
n_jobs,-1,-1
num_leaves,11,8
objective,binary,binary
random_state,42,42
reg_alpha,3.000937259850741,2.4910329455682922
reg_lambda,2.1812876737584275,0.9581631751378371
scale_pos_weight,0.48553031106774847,0.6954495168961843
silent,warn,warn
subsample,0.47009098174634656,0.94362223354692
subsample_for_bin,332025,127883
subsample_freq,0,0
verbose,1,0
best_score,1.0,0.5923673541336153
best_index,48.0,14.0
acc_train,0.6195652173913043,0.7065217391304348
acc_val,0.5531914893617021,0.5957446808510638
acc_test,0.4482758620689655,0.5517241379310345
precision,1.0,0.7333333333333333
recall,0.030303030303030304,0.3333333333333333
f1score,0.05882352941176471,0.45833333333333326
roc,0.5151515151515151,0.5866666666666666
tn,25.0,21.0
fp,0.0,4.0
fn,32.0,22.0
tp,1.0,11.0
acc_test1,0.3684210526315789,0.5789473684210527
precision1,0.0,1.0
recall1,0.0,0.3333333333333333
f1score1,0.0,0.5
roc1,0.5,0.6666666666666666
tn1,7.0,7.0
fp1,0.0,0.0
fn1,12.0,8.0
tp1,0.0,4.0
acc_test2,0.3684210526315789,0.5263157894736842
precision2,1.0,0.8333333333333334
recall2,0.07692307692307693,0.38461538461538464
f1score2,0.14285714285714288,0.5263157894736842
roc2,0.5384615384615384,0.608974358974359
tn2,6.0,5.0
fp2,0.0,1.0
fn2,12.0,8.0
tp2,1.0,5.0
acc_test3,0.6,0.55
precision3,0.0,0.4
recall3,0.0,0.25
f1score3,0.0,0.3076923076923077
roc3,0.5,0.5
tn3,12.0,9.0
fp3,0.0,3.0
fn3,8.0,6.0
tp3,0.0,2.0
