parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9
boosting_type,dart,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,
colsample_bytree,0.528987135942054,0.49898437007873314,0.528987135942054,0.49898437007873314,0.49898437007873314,0.49898437007873314,0.49898437007873314,0.005,0.10933486275994007
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.0028055967090060275,0.0003304939642148201,0.0028055967090060275,0.0003304939642148201,0.0003304939642148201,0.0003304939642148201,0.0003304939642148201,0.0001,0.00020003937281998327
max_depth,21,29,21,29,29,29,29,0,8
min_child_samples,17,19,17,19,19,19,19,31,25
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,4854,5903,3536,8381,8381,8381,8381,10000,7242
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,9,7,9,7,7,7,7,15,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,
reg_alpha,0.5,1.3,0.5,1.3,1.3,1.3,1.3,2.3000000000000003,1.5
reg_lambda,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.0,1.3
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9860608005968848,0.5597576125719046,0.9860608005968848,0.5597576125719046,0.5597576125719046,0.5597576125719046,0.5597576125719046,1.0,0.9969204043266121
subsample_for_bin,116672,439614,116672,439614,864131,864131,864131,474155,307068
subsample_freq,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,True,True,True,False,False
force_col_wise,true,true,true,true,true,true,true,true,true
max_bin,745,146,745,146,146,146,146,1000,508
scale_pos_weight,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,1.0000000000000002,0.8000000000000003
cv,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110
iterations,10,10,10,10,10,10,15,15,15
best_score,0.6428030303030303,0.5061111111111112,0.5306060606060605,0.5062337662337663,0.5062337662337663,0.5062337662337663,0.5062337662337663,0.5374883286647991,0.5837662337662338
best_index,4.0,7.0,4.0,7.0,7.0,7.0,7.0,14.0,2.0
acc_train,1.0,0.8972602739726028,0.9726027397260274,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.7397260273972602,0.6712328767123288
acc_val,0.45454545454545453,0.5675675675675675,0.5945945945945946,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.6216216216216216,0.6756756756756757
acc_test,0.5636363636363636,0.6304347826086957,0.5652173913043478,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6956521739130435,0.5869565217391305
