parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14
boosting_type,dart,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,
colsample_bytree,0.528987135942054,0.49898437007873314,0.528987135942054,0.49898437007873314,0.49898437007873314,0.49898437007873314,0.49898437007873314,0.005,0.10933486275994007,0.10933486275994007,0.005,0.10933486275994007,0.005,0.005
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0028055967090060275,0.0003304939642148201,0.0028055967090060275,0.0003304939642148201,0.0003304939642148201,0.0003304939642148201,0.0003304939642148201,0.0001,0.00020003937281998327,0.00020003937281998327,0.0001391177391823521,0.00020003937281998327,0.0001391226978944304,0.0001391177391823521
max_depth,21,29,21,29,29,29,29,0,8,8,11,8,11,11
min_child_samples,17,19,17,19,19,19,19,31,25,25,27,25,27,27
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10,9,8,7,8,8
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,4854,5903,3536,8381,8381,8381,8381,10000,7242,7242,8156,7242,8174,8156
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,9,7,9,7,7,7,7,15,8,8,8,8,8,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,,,
reg_alpha,0.5,1.3,0.5,1.3,1.3,1.3,1.3,2.3000000000000003,1.5,1.5,1.9000000000000001,1.5,1.9000000000000001,1.9000000000000001
reg_lambda,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.0,1.3,1.3,1.4000000000000001,1.3,1.4000000000000001,1.4000000000000001
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9860608005968848,0.5597576125719046,0.9860608005968848,0.5597576125719046,0.5597576125719046,0.5597576125719046,0.5597576125719046,1.0,0.9969204043266121,0.9969204043266121,1.0,0.9969204043266121,1.0,1.0
subsample_for_bin,116672,439614,116672,439614,864131,864131,864131,474155,307068,307068,100000,307068,50000,100000
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,True,True,True,False,False,False,False,False,False,False
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,745,146,745,146,146,146,146,1000,508,508,647,508,646,647
scale_pos_weight,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,1.0000000000000002,0.8000000000000003,0.8000000000000003,0.9000000000000001,0.8000000000000003,0.9000000000000001,0.9000000000000001
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110,110
iterations,10,10,10,10,10,10,15,15,15,15,15,15,15,20
best_score,0.6428030303030303,0.5061111111111112,0.5306060606060605,0.5062337662337663,0.5062337662337663,0.5062337662337663,0.5062337662337663,0.5374883286647991,0.5837662337662338,0.5103230103230103,0.5638888888888889,0.5357575757575758,0.5638888888888889,0.5638888888888889
best_index,4.0,7.0,4.0,7.0,7.0,7.0,7.0,14.0,2.0,2.0,10.0,2.0,10.0,10.0
acc_train,1.0,0.8972602739726028,0.9726027397260274,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.7397260273972602,0.6712328767123288,0.6986301369863014,0.6986301369863014,0.773972602739726,0.6986301369863014,0.6986301369863014
acc_val,0.45454545454545453,0.5675675675675675,0.5945945945945946,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.6216216216216216,0.6756756756756757,0.6756756756756757,0.6486486486486487,0.6756756756756757,0.6486486486486487,0.6486486486486487
acc_test,0.5636363636363636,0.6304347826086957,0.5652173913043478,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6956521739130435,0.5869565217391305,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6521739130434783,0.6521739130434783
precision,0.6875,0.7391304347826086,0.6666666666666666,0.75,0.75,0.75,0.75,0.75,0.7368421052631579,0.7777777777777778,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334
recall,0.6111111111111112,0.6071428571428571,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.75,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857
f1score,0.6470588235294118,0.6666666666666666,0.6153846153846153,0.6923076923076924,0.6923076923076924,0.6923076923076924,0.6923076923076924,0.75,0.5957446808510638,0.6086956521739131,0.6521739130434783,0.6250000000000001,0.6521739130434783,0.6521739130434783
roc,0.5423976608187134,0.636904761904762,0.5634920634920635,0.6547619047619049,0.6547619047619049,0.6547619047619049,0.6547619047619049,0.6805555555555557,0.611111111111111,0.638888888888889,0.6845238095238094,0.6289682539682538,0.6845238095238094,0.6845238095238094
tn,9.0,12.0,10.0,12.0,12.0,12.0,12.0,11.0,13.0,14.0,15.0,13.0,15.0,15.0
fp,10.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0,3.0,5.0,3.0,3.0
fn,14.0,11.0,12.0,10.0,10.0,10.0,10.0,7.0,14.0,14.0,13.0,13.0,13.0,13.0
tp,22.0,17.0,16.0,18.0,18.0,18.0,18.0,21.0,14.0,14.0,15.0,15.0,15.0,15.0
acc_test1,0.5555555555555556,0.6,0.6,0.6,0.6,0.6,0.6,0.6666666666666666,0.5333333333333333,0.6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666
precision1,0.7777777777777778,0.6666666666666666,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.75,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778
recall1,0.5384615384615384,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.7,0.6,0.7,0.7
f1score1,0.6363636363636364,0.7272727272727272,0.7,0.7272727272727272,0.7272727272727272,0.7272727272727272,0.7272727272727272,0.761904761904762,0.631578947368421,0.6666666666666665,0.7368421052631577,0.631578947368421,0.7368421052631577,0.7368421052631577
roc1,0.5692307692307692,0.5,0.55,0.5,0.5,0.5,0.5,0.6000000000000001,0.5,0.6,0.65,0.5,0.65,0.65
tn1,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
fp1,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
fn1,6.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0
tp1,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,6.0,7.0,7.0
acc_test2,0.5555555555555556,0.6,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
precision2,0.6363636363636364,0.75,0.5714285714285714,0.8,0.8,0.8,0.8,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
recall2,0.6363636363636364,0.375,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5
f1score2,0.6363636363636364,0.5,0.5333333333333333,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7999999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
roc2,0.5324675324675324,0.6160714285714286,0.5357142857142857,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.8035714285714286,0.75,0.75,0.75,0.75,0.75,0.75
tn2,3.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
fp2,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fn2,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
tp2,7.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0
acc_test3,0.5789473684210527,0.6875,0.5625,0.6875,0.6875,0.6875,0.6875,0.625,0.5,0.5,0.5625,0.5625,0.5625,0.5625
