parameter,value1,value2
boosting_type,goss,goss
class_weight,,
colsample_bytree,0.743869916924347,0.17197110685216477
importance_type,split,split
learning_rate,0.0014101274965423404,0.00209837254257327
max_depth,14,19
min_child_samples,15,26
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1426,1350
n_jobs,-1,-1
num_leaves,9,7
objective,binary,binary
random_state,,
reg_alpha,0.0,2.2
reg_lambda,0.8,0.0
silent,warn,warn
subsample,0.7267675535162856,0.5031916043798332
subsample_for_bin,280957,487270
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,False
force_col_wise,true,true
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.5437484737484737,0.5686147186147187
best_index,9.0,5.0
acc_train,0.9607843137254902,0.8496732026143791
acc_val,0.5641025641025641,0.5897435897435898
acc_test,0.6122448979591837,0.6122448979591837
precision,0.6,0.6
recall,0.4090909090909091,0.4090909090909091
f1score,0.4864864864864865,0.4864864864864865
roc,0.5934343434343434,0.5934343434343434
tn,21.0,21.0
fp,6.0,6.0
fn,13.0,13.0
tp,9.0,9.0
acc_test1,0.4375,0.625
precision1,0.5714285714285714,0.75
recall1,0.4,0.6
f1score1,0.47058823529411764,0.6666666666666665
roc1,0.44999999999999996,0.6333333333333334
tn1,3.0,4.0
fp1,3.0,2.0
fn1,6.0,4.0
tp1,4.0,6.0
acc_test2,0.5625,0.4375
precision2,0.5,0.25
recall2,0.2857142857142857,0.14285714285714285
f1score2,0.36363636363636365,0.18181818181818182
roc2,0.5317460317460316,0.40476190476190477
tn2,7.0,6.0
fp2,2.0,3.0
fn2,5.0,6.0
tp2,2.0,1.0
acc_test3,0.8235294117647058,0.7647058823529411
precision3,0.75,0.6666666666666666
recall3,0.6,0.4
f1score3,0.6666666666666665,0.5
roc3,0.7583333333333334,0.6583333333333333
tn3,11.0,11.0
fp3,1.0,1.0
fn3,2.0,3.0
tp3,3.0,2.0
