parameter,value3,value5,value7,value8,value9
acc_test,0.5918367346938775,0.5918367346938775,0.6530612244897959,0.6530612244897959,0.6530612244897959
acc_test1,0.5,0.5,0.6875,0.6875,0.6875
acc_test2,0.5,0.5,0.5,0.5,0.5
acc_test3,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
acc_train,0.954248366013072,0.954248366013072,0.9019607843137255,0.9019607843137255,0.9019607843137255
acc_val,0.46153846153846156,0.46153846153846156,0.48717948717948717,0.48717948717948717,0.48717948717948717
best_index,2.0,2.0,8.0,8.0,8.0
best_score,0.5193362193362192,0.5193362193362192,0.5172161172161172,0.5172161172161172,0.5172161172161172
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,
colsample_bytree,0.4503841871781403,0.4503841871781403,0.955923206446829,0.955923206446829,0.955923206446829
cv,,,,,
f1score,0.47368421052631576,0.47368421052631576,0.5641025641025642,0.5641025641025642,0.5641025641025642
f1score1,0.5555555555555556,0.5555555555555556,0.7058823529411764,0.7058823529411764,0.7058823529411764
f1score2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
f1score3,0.5,0.5,0.6,0.6,0.6
fn,13.0,13.0,11.0,11.0,11.0
fn1,5.0,5.0,4.0,4.0,4.0
fn2,5.0,5.0,5.0,5.0,5.0
fn3,3.0,3.0,2.0,2.0,2.0
force_col_wise,,,true,true,true
fp,7.0,7.0,6.0,6.0,6.0
fp1,3.0,3.0,1.0,1.0,1.0
fp2,3.0,3.0,3.0,3.0,3.0
fp3,1.0,1.0,2.0,2.0,2.0
importance_type,split,split,split,split,split
iterations,10,10,10,10,10
learning_rate,0.002593433302326685,0.002593433302326685,0.002383675004119787,0.002383675004119787,0.002383675004119787
max_depth,-1,-1,-1,-1,-1
metric,precision,precision,precision,precision,precision
min_child_samples,19,19,19,19,19
min_child_weight,2,2,2,2,2
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,1118,1118,800,800,800
n_jobs,-1,-1,-1,-1,-1
num_col,110,110,110,110,110
num_leaves,4,4,6,6,6
objective,binary,binary,binary,binary,binary
precision,0.5625,0.5625,0.6470588235294118,0.6470588235294118,0.6470588235294118
precision1,0.625,0.625,0.8571428571428571,0.8571428571428571,0.8571428571428571
precision2,0.4,0.4,0.4,0.4,0.4
precision3,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6
random_state,,,,,
recall,0.4090909090909091,0.4090909090909091,0.5,0.5,0.5
recall1,0.5,0.5,0.6,0.6,0.6
recall2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
recall3,0.4,0.4,0.6,0.6,0.6
reg_alpha,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0
roc,0.5749158249158248,0.5749158249158248,0.638888888888889,0.638888888888889,0.638888888888889
roc1,0.5,0.5,0.7166666666666668,0.7166666666666668,0.7166666666666668
roc2,0.4761904761904762,0.4761904761904762,0.4761904761904762,0.4761904761904762,0.4761904761904762
roc3,0.6583333333333333,0.6583333333333333,0.7166666666666668,0.7166666666666668,0.7166666666666668
scoring,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn
subsample,0.7540370060270916,0.7540370060270916,0.5984351244554718,0.5984351244554718,0.5984351244554718
subsample_for_bin,322936,322936,170363,170363,170363
subsample_freq,10,10,8,8,8
tn,20.0,20.0,21.0,21.0,21.0
tn1,3.0,3.0,5.0,5.0,5.0
tn2,6.0,6.0,6.0,6.0,6.0
tn3,11.0,11.0,10.0,10.0,10.0
tp,9.0,9.0,11.0,11.0,11.0
tp1,5.0,5.0,6.0,6.0,6.0
tp2,2.0,2.0,2.0,2.0,2.0
tp3,2.0,2.0,3.0,3.0,3.0
verbose,0,0,0,0,1
