parameter,value1
boosting_type,goss
class_weight,
colsample_bytree,0.743869916924347
importance_type,split
learning_rate,0.0014101274965423404
max_depth,14
min_child_samples,15
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1426
n_jobs,-1
num_leaves,9
objective,binary
random_state,
reg_alpha,0.0
reg_lambda,0.8
silent,warn
subsample,0.7267675535162856
subsample_for_bin,280957
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.5437484737484737
best_index,9.0
acc_train,0.9607843137254902
acc_val,0.5641025641025641
acc_test,0.6122448979591837
precision,0.6
recall,0.4090909090909091
f1score,0.4864864864864865
roc,0.5934343434343434
tn,21.0
fp,6.0
fn,13.0
tp,9.0
acc_test1,0.4375
precision1,0.5714285714285714
recall1,0.4
f1score1,0.47058823529411764
roc1,0.44999999999999996
tn1,3.0
fp1,3.0
fn1,6.0
tp1,4.0
acc_test2,0.5625
precision2,0.5
recall2,0.2857142857142857
f1score2,0.36363636363636365
roc2,0.5317460317460316
tn2,7.0
fp2,2.0
fn2,5.0
tp2,2.0
acc_test3,0.8235294117647058
precision3,0.75
recall3,0.6
f1score3,0.6666666666666665
roc3,0.7583333333333334
tn3,11.0
fp3,1.0
fn3,2.0
tp3,3.0
