parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12
cv,3,3,5,3,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,accuracy,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,False,True,True,True,True,True,False,True,False,True,False
boosting_type,dart,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart
class_weight,,,,,,,,,,,,
colsample_bytree,0.005,0.17584216715138923,0.3917956108624085,0.003,0.01,0.0001,0.001,0.053010207776015596,1.0,0.23917556871100076,0.1062014328849816,0.005
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0031006343684312075,0.002409728761362925,0.0002869888055189714,0.0010784024449710878,0.0004445090218235049,0.001035980959641169,0.001035980959641169,0.00021656032557823606,0.0004490208560599492,0.0003703535269985941,0.00019484406310692955,0.0031006343684312075
max_bin,258,100,249,1000,463,547,547,1000,281,686,370,258
max_depth,4,22,37,43,37,29,29,32,50,44,0,4
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,28,13,32,37,31,10,10,8,34,26,33,28
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2763,2050,3564,2513,4034,3881,3881,4025,2180,1917,1757,2763
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,16,3,19,14,19,13,13,11,13,13,12,16
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,3.271685107079131,3.2898389620511863,3.797348291367288,3.561507903872868,2.5850985894941108,4.0,4.0,2.1227391230147403,0.0,3.4084059447442665,2.445740463445626,3.271685107079131
reg_lambda,3.300273289696091,0.0,2.8267901850594663,4.0,4.0,3.6932653030302824,3.6932653030302824,4.0,1.0238145461488029,4.0,2.9393563125107787,3.300273289696091
scale_pos_weight,0.6928487757652826,0.9938340577597289,0.4739873572805892,0.7835433644381691,0.7194881771655917,0.7489894040798033,0.7489894040798033,0.5607827914692196,0.35786529534330824,0.5486547733155556,0.40424265575178225,0.6928487757652826
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.09810428848269573,0.48508472554567933,0.2348488825067934,0.469642956273968,0.26209617409148367,0.46253001490631357,0.46253001490631357,0.7740295986759821,0.005,0.7908764115863485,0.8816646257636217,0.09810428848269573
subsample_for_bin,348648,496494,413782,458956,464436,432294,432294,600000,136562,363213,500000,348648
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0
