parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.49898437007873314,0.49898437007873314,0.3622278172617969
importance_type,split,split,split
learning_rate,0.0003304939642148201,0.0003304939642148201,0.000890045629333899
max_depth,29,29,32
min_child_samples,19,19,31
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,2600,2600,2159
n_jobs,-1,-1,-1
num_leaves,7,7,14
objective,binary,binary,binary
random_state,,,
reg_alpha,1.3,1.3,1.8
reg_lambda,0.1,0.1,1.0
silent,warn,warn,warn
subsample,0.5597576125719046,0.5597576125719046,0.8161344220285284
subsample_for_bin,439614,439614,230947
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
boost_from_average,True,True,True
force_col_wise,true,true,true
max_bin,146,146,635
scale_pos_weight,0.7000000000000002,0.7000000000000002,1.0000000000000002
cv,5,5,5
scoring,"make_scorer(precision_score, pos_label=1)","make_scorer(precision_score, pos_label=1)","make_scorer(precision_score, pos_label=1)"
num_col,110,87,87
iterations,10,10,10
best_score,0.8,0.8333333333333333,0.7217171717171718
best_index,7.0,7.0,6.0
acc_train,0.7832167832167832,0.7832167832167832,0.8321678321678322
acc_val,0.6111111111111112,0.6111111111111112,0.5833333333333334
acc_test,0.5777777777777777,0.5777777777777777,0.5777777777777777
precision,1.0,1.0,0.7
recall,0.17391304347826086,0.17391304347826086,0.30434782608695654
f1score,0.29629629629629634,0.29629629629629634,0.42424242424242425
roc,0.5869565217391304,0.5869565217391304,0.58399209486166
tn,22.0,22.0,19.0
fp,0.0,0.0,3.0
fn,19.0,19.0,16.0
tp,4.0,4.0,7.0
acc_test1,0.5333333333333333,0.5333333333333333,0.6
precision1,1.0,1.0,0.8
recall1,0.2222222222222222,0.2222222222222222,0.4444444444444444
f1score1,0.3636363636363636,0.3636363636363636,0.5714285714285714
roc1,0.6111111111111112,0.6111111111111112,0.6388888888888888
tn1,6.0,6.0,5.0
fp1,0.0,0.0,1.0
fn1,7.0,7.0,5.0
tp1,2.0,2.0,4.0
acc_test2,0.4,0.4,0.4666666666666667
precision2,0.0,0.0,1.0
recall2,0.0,0.0,0.1111111111111111
f1score2,0.0,0.0,0.19999999999999998
roc2,0.5,0.5,0.5555555555555556
tn2,6.0,6.0,6.0
fp2,0.0,0.0,0.0
fn2,9.0,9.0,8.0
tp2,0.0,0.0,1.0
acc_test3,0.8,0.8,0.6666666666666666
precision3,1.0,1.0,0.5
recall3,0.4,0.4,0.4
f1score3,0.5714285714285715,0.5714285714285715,0.4444444444444445
roc3,0.7,0.7,0.6
tn3,10.0,10.0,8.0
fp3,0.0,0.0,2.0
fn3,3.0,3.0,3.0
tp3,2.0,2.0,2.0
