parameter,iter_1,iter_2,iter_3,iter_4
cv,5,5,5,5
iterations,50,50,50,50
num_col,98,98,98,11
scoring,precision,accuracy,precision,precision
boost_from_average,False,False,True,True
boosting_type,gbdt,gbdt,dart,gbdt
class_weight,,,,
colsample_bytree,0.8008884353630371,0.692716180044952,1.0,0.5
force_col_wise,true,true,true,true
importance_type,split,split,split,split
learning_rate,0.0008676822475303773,0.0005677213877147456,0.0001,0.000366792612847612
max_bin,1000,248,469,611
max_depth,50,1,0,37
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,39,21,40,31
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1849,3676,5000,3030
n_jobs,-1,-1,-1,-1
num_leaves,3,12,19,17
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.5769702158860334,3.7241207081090932,1.065871418609546,1.1667398539474465
reg_lambda,3.6919943952118413,1.6094809703841593,5.0,4.790382892892139
scale_pos_weight,0.5126662046624393,1.0283390912004404,0.7281119582588371,0.6651397407137466
silent,warn,warn,warn,warn
subsample,0.6937387664649043,0.9467687787970178,1.0,0.6489001549482292
subsample_for_bin,382465,243362,100000,500000
subsample_freq,0,0,0,0
verbose,0,0,0,0
best_score,0.7388888888888889,0.6495475113122172,0.6097313797313798,0.8400000000000001
best_index,28.0,16.0,42.0,20.0
acc_train,0.6536964980544747,0.6926070038910506,0.6770428015564203,0.6536964980544747
acc_val,0.7368421052631579,0.5263157894736842,0.6842105263157895,0.7368421052631579
acc_test,0.5,0.5909090909090909,0.6363636363636364,0.5
train_precision,0.84375,0.6702127659574468,0.7,0.84375
train_tn,141.0,115.0,125.0,141.0
train_fp,5.0,31.0,21.0,5.0
train_fn,84.0,48.0,62.0,84.0
train_tp,27.0,63.0,49.0,27.0
val_precision,1.0,0.2,0.5,1.0
val_tn,13.0,9.0,12.0,13.0
val_fp,0.0,4.0,1.0,0.0
val_fn,5.0,5.0,5.0,5.0
val_tp,1.0,1.0,1.0,1.0
test_precision,1.0,0.75,1.0,1.0
recall,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.15384615384615385
f1score,0.2666666666666667,0.5714285714285714,0.5555555555555556,0.2666666666666667
roc,0.5769230769230769,0.6196581196581198,0.6923076923076923,0.5769230769230769
test_tn,9.0,7.0,9.0,9.0
test_fp,0.0,2.0,0.0,0.0
test_fn,11.0,7.0,8.0,11.0
test_tp,2.0,6.0,5.0,2.0
