parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,True,True,True,True,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,gbdt,gbdt,dart,gbdt,dart
class_weight,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,1.0,0.6563426222443285,0.6563426222443285,0.5723135264917527,0.679511465960702,0.8919516328322443
cv,5,5,5,5,5,5
cv,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true
importance_type,['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split
iterations,50,50,100,50,50,50
iterations,50,50,100,50,50,50
learning_rate,0.004,0.000120666292134114,0.000120666292134114,0.0001,0.0008966376442750347,0.000937444857051163
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,100,333,333,1000,684,628
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,50,0,0,50,21,45
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_samples,40,30,30,5,27,12
min_child_weight,,,,"(0.001, 10.0)","(5.0, 15.0)","(10.0, 20.0)"
min_child_weight,0.001,0.001,0.001,10.0,14.24281368148356,19.009003679121314
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,5000,1145,1145,700,3529,3516
n_jobs,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98
num_col,98,98,98,98,98,98
num_leaves,20,15,15,20,13,6
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.6375802511519185,0.0,0.0,1.9280970035675067,0.9370311284624093,2.0
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,0.2918811081480753,1.75868433880787,1.75868433880787,0.0,1.6304209488010621,2.0
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,1.0003478675699928,1.345645017645259,1.345645017645259,2.0,0.7892600062914028,0.9422403326304154
scoring,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn
subsample,0.7052622873712012,0.26546958856282266,0.26546958856282266,0.2144638372882475,0.3982415029612957,0.011100831259409843
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,500000,181827,181827,500000,306651,409160
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.6179761904761906,0.7333333333333333,0.7333333333333333,0.662987012987013,0.6064102564102565,0.6218263305322129
