parameter,value4,value6,value7,value8,value9,value10,value11,value12,value14,value15,value16,value17
boosting_type,dart,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,
colsample_bytree,0.34012609291884177,0.11428221073486305,0.7624804082160506,0.14496302123819108,0.10933486275994007,0.10933486275994007,0.005,0.10933486275994007,0.10933486275994007,0.14452815081536527,0.1677891427453575,1.0
importance_type,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00018677533500210326,0.0025530908903477183,0.0015737886647212442,0.00011818204045101099,0.00020003937281998327,0.00020003937281998327,0.0015844438466659926,0.00020003937281998327,0.00020003937281998327,0.0016422799287563769,0.0019162589666810593,0.0002704992028671868
max_depth,43,45,34,3,8,8,2,8,8,24,23,42
min_child_samples,40,31,31,23,25,25,40,25,25,32,32,9
min_child_weight,2,6,0,10,10,10,5,10,10,8,3,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,7000,5163,2767,4961,5132,5132,7000,5132,5132,4444,4410,3052
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,6,4,10,8,8,14,8,8,9,10,14
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,30,30,30,30,30,30,30,30,30,30,30,30
reg_alpha,3.5,3.9000000000000004,1.8,1.4000000000000001,1.5,1.5,1.4000000000000001,1.5,1.5,1.5,1.4000000000000001,0.30000000000000004
reg_lambda,3.3000000000000003,1.2000000000000002,2.3000000000000003,1.2000000000000002,1.3,1.3,2.7,1.3,1.3,2.8000000000000003,2.8000000000000003,1.4000000000000001
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.541065017233757,0.172469584677607,0.22228193537995822,1.0,0.9969204043266121,0.9969204043266121,1.0,0.9969204043266121,0.9969204043266121,0.7481324011880844,0.6487712293279236,0.46072925722747665
subsample_for_bin,309260,1000000,309317,278479,307068,307068,975468,307068,307068,950489,949309,135973
subsample_freq,0,0,0,0,0,0,0,8,4,0,0,0
