parameter,value4
boosting_type,dart
class_weight,
colsample_bytree,0.34012609291884177
importance_type,split
learning_rate,0.00018677533500210326
max_depth,43
min_child_samples,40
min_child_weight,2
min_split_gain,0.0
n_estimators,7000
n_jobs,-1
num_leaves,10
objective,binary
random_state,30
reg_alpha,3.5
reg_lambda,3.3000000000000003
silent,warn
subsample,0.541065017233757
subsample_for_bin,309260
subsample_freq,0
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,784
metric,binary_logloss
scale_pos_weight,0.7000000000000002
cv,5
scoring,precision
num_col,110
iterations,50
best_score,0.7157203907203907
best_index,13.0
acc_train,0.6666666666666666
acc_val,0.6041666666666666
acc_test,0.6666666666666666
precision,0.5833333333333334
recall,0.3181818181818182
f1score,0.4117647058823529
roc,0.5933014354066986
tn,33.0
fp,5.0
fn,15.0
tp,7.0
acc_test1,0.6
precision1,0.6
recall1,0.3333333333333333
f1score1,0.42857142857142855
roc1,0.5757575757575757
tn1,9.0
fp1,2.0
fn1,6.0
tp1,3.0
acc_test2,0.75
precision2,0.5
recall2,0.4
f1score2,0.4444444444444445
roc2,0.6333333333333333
tn2,13.0
fp2,2.0
fn2,3.0
tp2,2.0
acc_test3,0.65
precision3,0.6666666666666666
recall3,0.25
f1score3,0.36363636363636365
roc3,0.5833333333333333
tn3,11.0
fp3,1.0
fn3,6.0
tp3,2.0
