parameter,value1,value2,value3,value4,value5,value6,value7,value12,value13,value14
boosting_type,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart
class_weight,,,,,,,,,,
colsample_bytree,0.0671567109274437,1.0,0.20083966167712705,0.7057969475910906,0.005,0.9487675509432903,0.012473472599367992,0.012473472599367992,0.005,0.005
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0001038282814371266,0.004,0.0008490226046333559,0.0001,0.0008684010899758531,0.0011651758545066734,0.0011275331342953151,0.0011275331342953151,0.0012674032380196173,0.0012674032380196173
max_depth,2,19,22,1,0,14,21,21,35,35
min_child_samples,7,13,12,40,32,18,28,28,14,14
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,9,9,4,4
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2377,700,5371,4291,7000,5602,4954,4954,3049,3049
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,11,3,10,4,3,11,9,9,8,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,30,30,30,30,30,30
reg_alpha,0.4,0.0,0.0,0.0,0.6000000000000001,0.8,1.7000000000000002,1.7000000000000002,1.1,1.1
reg_lambda,1.0,1.3,2.8000000000000003,3.9000000000000004,3.9000000000000004,2.1,2.2,2.2,1.1,1.1
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.573599728180918,0.005,0.9319884630076679,1.0,0.9955819397747837,0.664543818279464,0.9219055372219629,0.9219055372219629,0.7209054690228436,0.7209054690228436
subsample_for_bin,249920,800000,554051,474219,100000,701820,418273,418273,1000000,1000000
subsample_freq,0,0,0,0,0,0,0,0,0,0
verbose,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,False,False,False,False,False,False,False,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true
max_bin,170,100,807,100,100,515,1000,1000,100,100
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.5000000000000001,0.2,0.30000000000000004,1.9000000000000006,1.5000000000000004,0.30000000000000004,0.8000000000000003,0.8000000000000003,0.9000000000000001,0.9000000000000001
cv,5,3,7,7,7,10,10,10,10,10
scoring,precision,precision,precision,f1,roc_auc,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110
iterations,40,40,40,40,40,40,40,40,40,50
best_score,0.8133333333333332,0.8888888888888888,0.819047619047619,0.6420975745760359,0.6821924603174603,0.6928571428571428,0.7416666666666667,0.7416666666666667,0.8183333333333334,0.8183333333333334
best_index,30.0,11.0,20.0,38.0,34.0,19.0,29.0,29.0,33.0,33.0
acc_train,0.640625,0.625,0.8229166666666666,0.6666666666666666,0.7708333333333334,0.8541666666666666,0.6979166666666666,0.6979166666666666,0.7291666666666666,0.7291666666666666
acc_val,0.5833333333333334,0.5208333333333334,0.5625,0.625,0.6666666666666666,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5625,0.5625
