parameter,value1
boosting_type,dart
class_weight,
colsample_bytree,0.0671567109274437
importance_type,split
learning_rate,0.0001038282814371266
max_depth,2
min_child_samples,7
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2377
n_jobs,-1
num_leaves,11
objective,binary
random_state,
reg_alpha,0.4
reg_lambda,1.0
silent,warn
subsample,0.573599728180918
subsample_for_bin,249920
subsample_freq,0
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,170
metric,binary_logloss
scale_pos_weight,0.5000000000000001
cv,5
scoring,precision
num_col,110
iterations,40
best_score,0.8133333333333332
best_index,30.0
acc_train,0.640625
acc_val,0.5833333333333334
acc_test,0.6333333333333333
precision,0.0
recall,0.0
f1score,0.0
roc,0.5
tn,38.0
fp,0.0
fn,22.0
tp,0.0
acc_test1,0.55
precision1,0.0
recall1,0.0
f1score1,0.0
roc1,0.5
tn1,11.0
fp1,0.0
fn1,9.0
tp1,0.0
acc_test2,0.75
precision2,0.0
recall2,0.0
f1score2,0.0
roc2,0.5
tn2,15.0
fp2,0.0
fn2,5.0
tp2,0.0
acc_test3,0.6
precision3,0.0
recall3,0.0
f1score3,0.0
roc3,0.5
tn3,12.0
fp3,0.0
fn3,8.0
tp3,0.0
