parameter,value4,value6,value7,value8
boosting_type,dart,gbdt,dart,gbdt
class_weight,,,,
colsample_bytree,0.34012609291884177,0.11428221073486305,0.7624804082160506,0.14496302123819108
importance_type,split,split,split,split
learning_rate,0.00018677533500210326,0.0025530908903477183,0.0015737886647212442,0.00011818204045101099
max_depth,43,45,34,3
min_child_samples,40,31,31,23
min_child_weight,2,6,0,10
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,7000,5163,2767,4961
n_jobs,-1,-1,-1,-1
num_leaves,10,6,4,10
objective,binary,binary,binary,binary
random_state,30,30,30,30
reg_alpha,3.5,3.9000000000000004,1.8,1.4000000000000001
reg_lambda,3.3000000000000003,1.2000000000000002,2.3000000000000003,1.2000000000000002
silent,warn,warn,warn,warn
subsample,0.541065017233757,0.172469584677607,0.22228193537995822,1.0
subsample_for_bin,309260,1000000,309317,278479
subsample_freq,0,0,0,0
verbose,1,1,1,1
boost_from_average,False,False,False,False
force_col_wise,true,true,true,true
max_bin,784,100,792,563
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.7000000000000002,0.6000000000000001,0.7000000000000002,0.8000000000000003
cv,5,3,3,5
scoring,precision,precision,precision,precision
num_col,110,110,110,110
iterations,50,50,50,50
best_score,0.7157203907203907,0.7205882352941176,0.6529157117392411,0.6794480519480519
best_index,13.0,37.0,46.0,23.0
acc_train,0.6666666666666666,0.75,0.7552083333333334,0.6875
acc_val,0.6041666666666666,0.5625,0.5416666666666666,0.625
acc_test,0.6666666666666666,0.6833333333333333,0.7166666666666667,0.6666666666666666
precision,0.5833333333333334,0.7142857142857143,0.6923076923076923,0.5625
recall,0.3181818181818182,0.22727272727272727,0.4090909090909091,0.4090909090909091
f1score,0.4117647058823529,0.3448275862068965,0.5142857142857142,0.47368421052631576
roc,0.5933014354066986,0.5873205741626795,0.6519138755980862,0.6124401913875598
tn,33.0,36.0,34.0,31.0
fp,5.0,2.0,4.0,7.0
fn,15.0,17.0,13.0,13.0
tp,7.0,5.0,9.0,9.0
acc_test1,0.6,0.6,0.65,0.6
precision1,0.6,1.0,0.75,0.5714285714285714
recall1,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444444
f1score1,0.42857142857142855,0.19999999999999998,0.46153846153846156,0.5
roc1,0.5757575757575757,0.5555555555555556,0.6212121212121211,0.5858585858585859
tn1,9.0,11.0,10.0,8.0
fp1,2.0,0.0,1.0,3.0
fn1,6.0,8.0,6.0,5.0
tp1,3.0,1.0,3.0,4.0
acc_test2,0.75,0.85,0.85,0.8
precision2,0.5,0.75,0.6666666666666666,0.6
recall2,0.4,0.6,0.8,0.6
f1score2,0.4444444444444445,0.6666666666666665,0.7272727272727272,0.6
roc2,0.6333333333333333,0.7666666666666667,0.8333333333333334,0.7333333333333334
tn2,13.0,14.0,13.0,13.0
fp2,2.0,1.0,2.0,2.0
fn2,3.0,2.0,1.0,2.0
tp2,2.0,3.0,4.0,3.0
acc_test3,0.65,0.6,0.65,0.6
precision3,0.6666666666666666,0.5,0.6666666666666666,0.5
recall3,0.25,0.125,0.25,0.25
f1score3,0.36363636363636365,0.2,0.36363636363636365,0.3333333333333333
roc3,0.5833333333333333,0.5208333333333334,0.5833333333333333,0.5416666666666667
tn3,11.0,11.0,11.0,10.0
fp3,1.0,1.0,1.0,2.0
fn3,6.0,7.0,6.0,6.0
tp3,2.0,1.0,2.0,2.0
