parameter,value4,value6,value7,value8,value9,value10,value11,value12,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23
boosting_type,dart,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart,gbdt,dart,dart,gbdt
class_weight,,,,,,,,,,,,,,,,,,
colsample_bytree,0.34012609291884177,0.11428221073486305,0.7624804082160506,0.14496302123819108,0.10933486275994007,0.10933486275994007,0.005,0.10933486275994007,0.10933486275994007,0.14452815081536527,0.1677891427453575,1.0,0.005,0.005,0.005,0.005,0.9081972517676526,1.0
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00018677533500210326,0.0025530908903477183,0.0015737886647212442,0.00011818204045101099,0.00020003937281998327,0.00020003937281998327,0.0015844438466659926,0.00020003937281998327,0.00020003937281998327,0.0016422799287563769,0.0019162589666810593,0.0002704992028671868,0.0003276027421007162,0.0001,0.0012240180491571522,0.0015980675282293996,0.0001298944373405878,0.0005117740589594785
max_depth,43,45,34,3,8,8,2,8,8,24,23,42,50,50,50,50,43,50
min_child_samples,40,31,31,23,25,25,40,25,25,32,32,9,40,5,16,5,9,5
min_child_weight,2,6,0,10,10,10,5,10,10,8,3,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,7000,5163,2767,4961,5132,5132,7000,5132,5132,4444,4410,3052,7000,7000,6748,3459,1175,4829
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,6,4,10,8,8,14,8,8,9,10,14,3,15,8,10,5,3
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
reg_alpha,3.5,3.9000000000000004,1.8,1.4000000000000001,1.5,1.5,1.4000000000000001,1.5,1.5,1.5,1.4000000000000001,0.30000000000000004,0.0,0.0,0.5,0.0,3,0.0
reg_lambda,3.3000000000000003,1.2000000000000002,2.3000000000000003,1.2000000000000002,1.3,1.3,2.7,1.3,1.3,2.8000000000000003,2.8000000000000003,1.4000000000000001,0.0,1.0,2.1,0.0,4,3.8000000000000003
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.541065017233757,0.172469584677607,0.22228193537995822,1.0,0.9969204043266121,0.9969204043266121,1.0,0.9969204043266121,0.9969204043266121,0.7481324011880844,0.6487712293279236,0.46072925722747665,1.0,0.005,0.09061560253019199,0.45807030795036363,0.5486105935946284,0.7889600313591094
subsample_for_bin,309260,1000000,309317,278479,307068,307068,975468,307068,307068,950489,949309,135973,100000,981597,215583,1000000,878057,1000000
subsample_freq,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,False
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,784,100,792,563,599,599,835,599,599,559,510,230,100,100,1099,100,377,100
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.7000000000000002,0.6000000000000001,0.7000000000000002,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.7000000000000002,0.8000000000000003,0.8000000000000003,0.6000000000000001,0.6000000000000001,0.2,1.9000000000000006,0.8000000000000003,1.0000000000000002,0.2,0.5000000000000001,0.2
cv,5,3,3,5,5,10,7,7,7,7,7,3,3,3,3,3,3,3
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,f1,roc_auc,accuracy,average_precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
iterations,50,50,50,50,10,10,20,20,10,20,20,70,70,70,70,70,70,70
best_score,0.7157203907203907,0.7205882352941176,0.6529157117392411,0.6794480519480519,0.6571969696969696,0.6695238095238094,0.7356009070294786,0.6472222222222221,0.6472222222222221,0.6738095238095239,0.673992673992674,0.8888888888888888,0.6292226435801708,0.671957671957672,0.6354166666666666,0.6582448224338465,0.8095238095238094,1.0
best_index,13.0,37.0,46.0,23.0,2.0,2.0,18.0,2.0,2.0,11.0,5.0,69.0,39.0,59.0,35.0,54.0,60.0,33.0
acc_train,0.6666666666666666,0.75,0.7552083333333334,0.6875,0.6979166666666666,0.6979166666666666,0.7552083333333334,0.6927083333333334,0.6927083333333334,0.7760416666666666,0.8958333333333334,0.640625,0.5677083333333334,0.7083333333333334,0.953125,0.5729166666666666,0.6875,0.6145833333333334
acc_val,0.6041666666666666,0.5625,0.5416666666666666,0.625,0.6041666666666666,0.6041666666666666,0.5416666666666666,0.6041666666666666,0.6041666666666666,0.5208333333333334,0.5625,0.5625,0.4583333333333333,0.5416666666666666,0.6041666666666666,0.5625,0.4583333333333333,0.5208333333333334
acc_test,0.6666666666666666,0.6833333333333333,0.7166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7166666666666667,0.6666666666666666,0.6666666666666666,0.6,0.6166666666666667,0.65,0.4,0.6333333333333333,0.5666666666666667,0.6333333333333333,0.6333333333333333,0.6333333333333333
precision,0.5833333333333334,0.7142857142857143,0.6923076923076923,0.5625,0.5625,0.5625,0.7777777777777778,0.5625,0.5625,0.42857142857142855,0.45454545454545453,1.0,0.3793103448275862,0.0,0.4,0.0,0.5,0.0
recall,0.3181818181818182,0.22727272727272727,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.3181818181818182,0.4090909090909091,0.4090909090909091,0.2727272727272727,0.22727272727272727,0.045454545454545456,1.0,0.0,0.36363636363636365,0.0,0.09090909090909091,0.0
f1score,0.4117647058823529,0.3448275862068965,0.5142857142857142,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.45161290322580644,0.47368421052631576,0.47368421052631576,0.33333333333333326,0.30303030303030304,0.08695652173913045,0.5499999999999999,0.0,0.380952380952381,0.0,0.15384615384615385,0.0
roc,0.5933014354066986,0.5873205741626795,0.6519138755980862,0.6124401913875598,0.6124401913875598,0.6124401913875598,0.6327751196172249,0.6124401913875598,0.6124401913875598,0.5311004784688995,0.534688995215311,0.5227272727272727,0.5263157894736843,0.5,0.5239234449760766,0.5,0.5191387559808612,0.5
tn,33.0,36.0,34.0,31.0,31.0,31.0,36.0,31.0,31.0,30.0,32.0,38.0,2.0,38.0,26.0,38.0,36.0,38.0
fp,5.0,2.0,4.0,7.0,7.0,7.0,2.0,7.0,7.0,8.0,6.0,0.0,36.0,0.0,12.0,0.0,2.0,0.0
fn,15.0,17.0,13.0,13.0,13.0,13.0,15.0,13.0,13.0,16.0,17.0,21.0,0.0,22.0,14.0,22.0,20.0,22.0
tp,7.0,5.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,6.0,5.0,1.0,22.0,0.0,8.0,0.0,2.0,0.0
acc_test1,0.6,0.6,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.5,0.55,0.55,0.45,0.55,0.6,0.55,0.65,0.55
precision1,0.6,1.0,0.75,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.0,0.45,0.0,0.5714285714285714,0.0,1.0,0.0
recall1,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.4444444444444444,0.0,0.2222222222222222,0.0
f1score1,0.42857142857142855,0.19999999999999998,0.46153846153846156,0.5,0.5,0.5,0.3636363636363636,0.5,0.5,0.16666666666666666,0.1818181818181818,0.0,0.6206896551724138,0.0,0.5,0.0,0.3636363636363636,0.0
roc1,0.5757575757575757,0.5555555555555556,0.6212121212121211,0.5858585858585859,0.5858585858585859,0.5858585858585859,0.6111111111111112,0.5858585858585859,0.5858585858585859,0.46464646464646464,0.5101010101010102,0.5,0.5,0.5,0.5858585858585859,0.5,0.6111111111111112,0.5
tn1,9.0,11.0,10.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,10.0,11.0,0.0,11.0,8.0,11.0,11.0,11.0
fp1,2.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,1.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0
fn1,6.0,8.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,8.0,8.0,9.0,0.0,9.0,5.0,9.0,7.0,9.0
tp1,3.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0,9.0,0.0,4.0,0.0,2.0,0.0
acc_test2,0.75,0.85,0.85,0.8,0.8,0.8,0.85,0.8,0.8,0.75,0.75,0.75,0.35,0.75,0.65,0.75,0.7,0.75
precision2,0.5,0.75,0.6666666666666666,0.6,0.6,0.6,0.75,0.6,0.6,0.5,0.5,0.0,0.2777777777777778,0.0,0.375,0.0,0.0,0.0
recall2,0.4,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,1.0,0.0,0.6,0.0,0.0,0.0
f1score2,0.4444444444444445,0.6666666666666665,0.7272727272727272,0.6,0.6,0.6,0.6666666666666665,0.6,0.6,0.5454545454545454,0.5454545454545454,0.0,0.4347826086956522,0.0,0.4615384615384615,0.0,0.0,0.0
