parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.5,0.4,0.4,0.5,0.4,0.5
importance_type,split,split,split,split,split,split
learning_rate,0.0017,0.0017,0.002,0.002,0.002,0.002
max_depth,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1200,1400,1400,1500,1400,1500
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,6,5,5,5,5,4
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.2,1,0.3,0.3
reg_lambda,0.0,0.0,0.2,1,0.3,0.3
silent,warn,warn,warn,warn,warn,warn
subsample,0.2,0.1,0.05,0.05,0.01,0.01
subsample_for_bin,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0,1.0,1.0,1.0
cv,,,,,,
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,75
best_score,0.61,0.6176190476190476,0.6299999999999999,0.6245238095238095,0.6328571428571429,0.6261904761904762
best_index,243.0,246.0,273.0,426.0,364.0,564.0
acc_train,0.9640718562874252,0.9520958083832335,0.9580838323353293,0.9580838323353293,0.9580838323353293,0.9461077844311377
acc_val,0.6428571428571429,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6190476190476191
acc_test,0.5471698113207547,0.6226415094339622,0.6415094339622641,0.6037735849056604,0.6415094339622641,0.6037735849056604
precision,0.4782608695652174,0.5714285714285714,0.6,0.55,0.6,0.55
recall,0.4782608695652174,0.5217391304347826,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.4782608695652174
f1score,0.4782608695652174,0.5454545454545454,0.5581395348837209,0.5116279069767442,0.5581395348837209,0.5116279069767442
roc,0.5391304347826087,0.6108695652173913,0.627536231884058,0.5891304347826086,0.627536231884058,0.5891304347826086
tn,18.0,21.0,22.0,21.0,22.0,21.0
fp,12.0,9.0,8.0,9.0,8.0,9.0
fn,12.0,11.0,11.0,12.0,11.0,12.0
tp,11.0,12.0,12.0,11.0,12.0,11.0
acc_test1,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
precision1,0.6,0.6,0.6,0.6,0.6,0.6
recall1,0.25,0.25,0.25,0.25,0.25,0.25
f1score1,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
roc1,0.425,0.425,0.425,0.425,0.425,0.425
tn1,3.0,3.0,3.0,3.0,3.0,3.0
fp1,2.0,2.0,2.0,2.0,2.0,2.0
fn1,9.0,9.0,9.0,9.0,9.0,9.0
tp1,3.0,3.0,3.0,3.0,3.0,3.0
acc_test2,0.6470588235294118,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.7058823529411765
precision2,0.5555555555555556,0.75,0.75,0.7142857142857143,0.75,0.625
recall2,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143
f1score2,0.6250000000000001,0.7999999999999999,0.7999999999999999,0.7142857142857143,0.7999999999999999,0.6666666666666666
roc2,0.6571428571428573,0.8285714285714286,0.8285714285714286,0.7571428571428572,0.8285714285714286,0.7071428571428571
tn2,6.0,8.0,8.0,8.0,8.0,7.0
fp2,4.0,2.0,2.0,2.0,2.0,3.0
fn2,2.0,1.0,1.0,2.0,1.0,2.0
tp2,5.0,6.0,6.0,5.0,6.0,5.0
acc_test3,0.631578947368421,0.6842105263157895,0.7368421052631579,0.6842105263157895,0.7368421052631579,0.7368421052631579
precision3,0.3333333333333333,0.375,0.42857142857142855,0.375,0.42857142857142855,0.42857142857142855
recall3,0.75,0.75,0.75,0.75,0.75,0.75
f1score3,0.46153846153846156,0.5,0.5454545454545454,0.5,0.5454545454545454,0.5454545454545454
roc3,0.675,0.7083333333333334,0.7416666666666667,0.7083333333333334,0.7416666666666667,0.7416666666666667
tn3,9.0,10.0,11.0,10.0,11.0,11.0
fp3,6.0,5.0,4.0,5.0,4.0,4.0
fn3,1.0,1.0,1.0,1.0,1.0,1.0
tp3,3.0,3.0,3.0,3.0,3.0,3.0
