parameter,value1,value2,value3,value4
boosting_type,dart,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.0671567109274437,1.0,0.20083966167712705,0.7057969475910906
importance_type,split,split,split,split
learning_rate,0.0001038282814371266,0.004,0.0008490226046333559,0.0001
max_depth,2,19,22,1
min_child_samples,7,13,12,40
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,2377,700,5371,4291
n_jobs,-1,-1,-1,-1
num_leaves,11,3,10,4
objective,binary,binary,binary,binary
random_state,,,,
reg_alpha,0.4,0.0,0.0,0.0
reg_lambda,1.0,1.3,2.8000000000000003,3.9000000000000004
silent,warn,warn,warn,warn
subsample,0.573599728180918,0.005,0.9319884630076679,1.0
subsample_for_bin,249920,800000,554051,474219
subsample_freq,0,0,0,0
verbose,1,1,1,1
boost_from_average,False,False,False,False
force_col_wise,true,true,true,true
max_bin,170,100,807,100
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.5000000000000001,0.2,0.30000000000000004,1.9000000000000006
cv,5,3,7,7
scoring,precision,precision,precision,f1
num_col,110,110,110,110
iterations,40,40,40,40
best_score,0.8133333333333332,0.8888888888888888,0.819047619047619,0.6420975745760359
best_index,30.0,11.0,20.0,38.0
acc_train,0.640625,0.625,0.8229166666666666,0.6666666666666666
acc_val,0.5833333333333334,0.5208333333333334,0.5625,0.625
acc_test,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.5333333333333333
precision,0.0,0.0,1.0,0.425
recall,0.0,0.0,0.09090909090909091,0.7727272727272727
f1score,0.0,0.0,0.16666666666666669,0.5483870967741935
roc,0.5,0.5,0.5454545454545454,0.5837320574162679
tn,38.0,38.0,38.0,15.0
fp,0.0,0.0,0.0,23.0
fn,22.0,22.0,20.0,5.0
tp,0.0,0.0,2.0,17.0
acc_test1,0.55,0.55,0.55,0.65
precision1,0.0,0.0,0.0,0.5833333333333334
recall1,0.0,0.0,0.0,0.7777777777777778
f1score1,0.0,0.0,0.0,0.6666666666666666
roc1,0.5,0.5,0.5,0.6616161616161615
tn1,11.0,11.0,11.0,6.0
fp1,0.0,0.0,0.0,5.0
fn1,9.0,9.0,9.0,2.0
tp1,0.0,0.0,0.0,7.0
acc_test2,0.75,0.75,0.85,0.5
precision2,0.0,0.0,1.0,0.3076923076923077
recall2,0.0,0.0,0.4,0.8
f1score2,0.0,0.0,0.5714285714285715,0.4444444444444444
roc2,0.5,0.5,0.7,0.6000000000000001
tn2,15.0,15.0,15.0,6.0
fp2,0.0,0.0,0.0,9.0
fn2,5.0,5.0,3.0,1.0
tp2,0.0,0.0,2.0,4.0
acc_test3,0.6,0.6,0.6,0.45
precision3,0.0,0.0,0.0,0.4
recall3,0.0,0.0,0.0,0.75
f1score3,0.0,0.0,0.0,0.5217391304347827
roc3,0.5,0.5,0.5,0.5
tn3,12.0,12.0,12.0,3.0
fp3,0.0,0.0,0.0,9.0
fn3,8.0,8.0,8.0,2.0
tp3,0.0,0.0,0.0,6.0
