parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.0017
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1200
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.2
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,precision
num_col,110
best_score,0.61
best_index,243.0
acc_train,0.9640718562874252
acc_val,0.6428571428571429
acc_test,0.5471698113207547
precision,0.4782608695652174
recall,0.4782608695652174
f1score,0.4782608695652174
roc,0.5391304347826087
tn,18.0
fp,12.0
fn,12.0
tp,11.0
acc_test1,0.35294117647058826
precision1,0.6
recall1,0.25
f1score1,0.35294117647058826
roc1,0.425
tn1,3.0
fp1,2.0
fn1,9.0
tp1,3.0
acc_test2,0.6470588235294118
precision2,0.5555555555555556
recall2,0.7142857142857143
f1score2,0.6250000000000001
roc2,0.6571428571428573
tn2,6.0
fp2,4.0
fn2,2.0
tp2,5.0
acc_test3,0.631578947368421
precision3,0.3333333333333333
recall3,0.75
f1score3,0.46153846153846156
roc3,0.675
tn3,9.0
fp3,6.0
fn3,1.0
tp3,3.0
