parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,dart,gbdt,dart
class_weight,,,,,,
colsample_bytree,0.1677891427453575,0.10933486275994007,0.1677891427453575,0.005,0.1804890342328884,0.4744501146138746
importance_type,split,split,split,split,split,split
learning_rate,0.0019162589666810593,0.00020003937281998327,0.0019162589666810593,0.004,0.00022449513091343727,0.003271789953579782
max_depth,23,8,23,20,28,19
min_child_samples,32,25,32,35,7,11
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1982,6831,5327,6503,2534,7000
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,10,11,10,15,15,15
objective,binary,binary,binary,binary,binary,binary
random_state,,,,,,
reg_alpha,0.0,0.4,0.0,0.5,0.7000000000000001,1.9000000000000001
reg_lambda,0.9,1.0,0.9,0.4,0.0,0.2
silent,warn,warn,warn,warn,warn,warn
subsample,0.2639494323813032,0.36433471742398227,0.2639494323813032,1.0,0.2769990381304893,0.04772505553372437
subsample_for_bin,358803,797833,552904,100000,543156,562971
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1
boost_from_average,True,False,True,True,False,False
force_col_wise,true,true,true,true,true,true
max_bin,435,508,435,1000,577,230
scale_pos_weight,1.8000000000000005,1.0000000000000002,1.8000000000000005,1.1000000000000003,0.4000000000000001,0.30000000000000004
cv,5,5,5,5,3,3
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,103
iterations,10,10,10,15,15,15
best_score,0.5872893772893774,0.5930555555555556,0.5907342657342658,0.5931550802139037,0.6722222222222222,0.8333333333333334
best_index,5.0,2.0,5.0,11.0,12.0,13.0
acc_train,0.8641304347826086,0.8858695652173914,1.0,0.9130434782608695,0.8097826086956522,0.875
acc_val,0.5869565217391305,0.5652173913043478,0.5217391304347826,0.6739130434782609,0.5869565217391305,0.5869565217391305
acc_test,0.5172413793103449,0.603448275862069,0.5517241379310345,0.603448275862069,0.6551724137931034,0.5689655172413793
precision,0.4473684210526316,0.5263157894736842,0.46875,0.52,1.0,0.3333333333333333
recall,0.7083333333333334,0.4166666666666667,0.625,0.5416666666666666,0.16666666666666666,0.041666666666666664
f1score,0.5483870967741936,0.46511627906976744,0.5357142857142857,0.5306122448979592,0.2857142857142857,0.07407407407407407
roc,0.545343137254902,0.5759803921568628,0.5625,0.5943627450980391,0.5833333333333334,0.491421568627451
tn,13.0,25.0,17.0,22.0,34.0,32.0
fp,21.0,9.0,17.0,12.0,0.0,2.0
fn,7.0,14.0,9.0,11.0,20.0,23.0
tp,17.0,10.0,15.0,13.0,4.0,1.0
acc_test1,0.631578947368421,0.5789473684210527,0.631578947368421,0.5789473684210527,0.5789473684210527,0.47368421052631576
precision1,0.7,0.8,0.7,0.6363636363636364,1.0,1.0
recall1,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.09090909090909091
f1score1,0.6666666666666666,0.5000000000000001,0.6666666666666666,0.6363636363636364,0.42857142857142855,0.16666666666666669
roc1,0.6306818181818181,0.6193181818181819,0.6306818181818181,0.5681818181818181,0.6363636363636364,0.5454545454545454
tn1,5.0,7.0,5.0,4.0,8.0,8.0
fp1,3.0,1.0,3.0,4.0,0.0,0.0
fn1,4.0,7.0,4.0,4.0,8.0,10.0
tp1,7.0,4.0,7.0,7.0,3.0,1.0
acc_test2,0.5789473684210527,0.7368421052631579,0.5789473684210527,0.5789473684210527,0.631578947368421,0.631578947368421
precision2,0.46153846153846156,0.75,0.4444444444444444,0.4,0.0,0.0
recall2,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.0,0.0
f1score2,0.6,0.5454545454545454,0.5,0.3333333333333333,0.0,0.0
roc2,0.6369047619047619,0.6726190476190477,0.5773809523809523,0.5178571428571428,0.5,0.5
tn2,5.0,11.0,7.0,9.0,12.0,12.0
fp2,7.0,1.0,5.0,3.0,0.0,0.0
fn2,1.0,4.0,3.0,5.0,7.0,7.0
tp2,6.0,3.0,4.0,2.0,0.0,0.0
acc_test3,0.35,0.5,0.45,0.65,0.75,0.6
precision3,0.26666666666666666,0.3,0.3076923076923077,0.4444444444444444,1.0,0.0
recall3,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.0
f1score3,0.3809523809523809,0.37499999999999994,0.42105263157894735,0.5333333333333333,0.2857142857142857,0.0
roc3,0.44047619047619047,0.5,0.5119047619047619,0.6547619047619047,0.5833333333333334,0.4285714285714286
tn3,3.0,7.0,5.0,9.0,14.0,12.0
fp3,11.0,7.0,9.0,5.0,0.0,2.0
fn3,2.0,3.0,2.0,2.0,5.0,6.0
tp3,4.0,3.0,4.0,4.0,1.0,0.0
