parameter,value1,value2
boosting_type,dart,gbdt
class_weight,,
colsample_bytree,0.0671567109274437,1.0
importance_type,split,split
learning_rate,0.0001038282814371266,0.004
max_depth,2,19
min_child_samples,7,13
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2377,700
n_jobs,-1,-1
num_leaves,11,3
objective,binary,binary
random_state,,
reg_alpha,0.4,0.0
reg_lambda,1.0,1.3
silent,warn,warn
subsample,0.573599728180918,0.005
subsample_for_bin,249920,800000
subsample_freq,0,0
verbose,1,1
boost_from_average,False,False
force_col_wise,true,true
max_bin,170,100
metric,binary_logloss,binary_logloss
scale_pos_weight,0.5000000000000001,0.2
cv,5,3
scoring,precision,precision
num_col,110,110
iterations,40,40
best_score,0.8133333333333332,0.8888888888888888
best_index,30.0,11.0
acc_train,0.640625,0.625
acc_val,0.5833333333333334,0.5208333333333334
acc_test,0.6333333333333333,0.6333333333333333
precision,0.0,0.0
recall,0.0,0.0
f1score,0.0,0.0
roc,0.5,0.5
tn,38.0,38.0
fp,0.0,0.0
fn,22.0,22.0
tp,0.0,0.0
acc_test1,0.55,0.55
precision1,0.0,0.0
recall1,0.0,0.0
f1score1,0.0,0.0
roc1,0.5,0.5
tn1,11.0,11.0
fp1,0.0,0.0
fn1,9.0,9.0
tp1,0.0,0.0
acc_test2,0.75,0.75
precision2,0.0,0.0
recall2,0.0,0.0
f1score2,0.0,0.0
roc2,0.5,0.5
tn2,15.0,15.0
fp2,0.0,0.0
fn2,5.0,5.0
tp2,0.0,0.0
acc_test3,0.6,0.6
precision3,0.0,0.0
recall3,0.0,0.0
f1score3,0.0,0.0
roc3,0.5,0.5
tn3,12.0,12.0
fp3,0.0,0.0
fn3,8.0,8.0
tp3,0.0,0.0
