parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.8
importance_type,split
learning_rate,0.005
max_depth,2
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,500
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.3
subsample_for_bin,200000
subsample_freq,0
max_delta_step,0.5
metric,binary_logloss
best_score,0.8496376811594203
best_index,105210.0
acc_train,0.8571428571428571
acc_val,0.7666666666666667
acc_test,0.7631578947368421
precision,0.75
recall,0.6
f1score,0.6666666666666665
roc,0.7347826086956522
tn,20.0
fp,3.0
fn,6.0
tp,9.0
