parameter,value1,value2,value3,value4,value5
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,
colsample_bytree,0.8,0.9,0.9,0.9,0.9
importance_type,split,split,split,split,split
learning_rate,0.001,0.0005,0.0005,0.0005,0.001
max_depth,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,1300,1100,1100,1100,1300
n_jobs,-1,-1,-1,-1,-1
num_leaves,4,4,4,4,4
objective,binary,binary,binary,binary,binary
random_state,42,42,42,42,42
reg_alpha,0.0,0,0,0,1
reg_lambda,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn
subsample,0.4,0.3,0.2,0.2,1
subsample_for_bin,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5,1.5,1.5,1.5
cv,,,,,
scoring,precision,precision,precision,precision,precision
num_col,110,110,110,35,35
best_score,0.5425490196078432,0.5444444444444445,0.5444444444444445,0.5444444444444445,0.5366666666666667
best_index,2236.0,1732.0,381.0,381.0,102.0
acc_train,0.897196261682243,0.8317757009345794,0.8317757009345794,0.8317757009345794,0.9158878504672897
acc_val,0.5185185185185185,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185
acc_test,0.47058823529411764,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5588235294117647
precision,0.4117647058823529,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5
recall,0.4666666666666667,0.4,0.4,0.4,0.4666666666666667
f1score,0.43749999999999994,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.4827586206896552
roc,0.47017543859649125,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5491228070175438
tn,9.0,14.0,14.0,14.0,12.0
fp,10.0,5.0,5.0,5.0,7.0
fn,8.0,9.0,9.0,9.0,8.0
tp,7.0,6.0,6.0,6.0,7.0
acc_test1,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454
precision1,0.42857142857142855,0.6,0.6,0.6,0.5
recall1,0.6,0.6,0.6,0.6,0.6
f1score1,0.5,0.6,0.6,0.6,0.5454545454545454
roc1,0.4666666666666667,0.6333333333333334,0.6333333333333334,0.6333333333333334,0.55
tn1,2.0,4.0,4.0,4.0,3.0
fp1,4.0,2.0,2.0,2.0,3.0
fn1,2.0,2.0,2.0,2.0,2.0
tp1,3.0,3.0,3.0,3.0,3.0
acc_test2,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454
precision2,0.2857142857142857,0.5,0.5,0.5,0.4
recall2,0.5,0.5,0.5,0.5,0.5
f1score2,0.36363636363636365,0.5,0.5,0.5,0.4444444444444445
roc2,0.39285714285714285,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5357142857142857
tn2,2.0,5.0,5.0,5.0,4.0
fp2,5.0,2.0,2.0,2.0,3.0
fn2,2.0,2.0,2.0,2.0,2.0
tp2,2.0,2.0,2.0,2.0,2.0
acc_test3,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334
precision3,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666
recall3,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
f1score3,0.4444444444444444,0.25,0.25,0.25,0.4444444444444444
roc3,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334
tn3,5.0,5.0,5.0,5.0,5.0
fp3,1.0,1.0,1.0,1.0,1.0
fn3,4.0,5.0,5.0,5.0,4.0
tp3,2.0,1.0,1.0,1.0,2.0
