parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.01
max_depth,3
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,100
n_jobs,-1
num_leaves,2
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.7
subsample_for_bin,200000
subsample_freq,0
max_delta_step,0.7
metric,binary_logloss
best_score,0.8464285714285715
best_index,0.0
acc_train,0.8235294117647058
acc_val,0.7333333333333333
acc_test,0.7631578947368421
precision,0.8
recall,0.5333333333333333
f1score,0.64
roc,0.7231884057971014
tn,21.0
fp,2.0
fn,7.0
tp,8.0
acc_test1,0.75
precision1,0.75
recall1,0.6
f1score1,0.6666666666666665
roc1,0.7285714285714286
tn1,6.0
fp1,1.0
fn1,2.0
tp1,3.0
acc_test2,0.9166666666666666
precision2,1.0
recall2,0.75
f1score2,0.8571428571428571
roc2,0.875
tn2,8.0
fp2,0.0
fn2,1.0
tp2,3.0
acc_test3,0.6428571428571429
precision3,0.6666666666666666
recall3,0.3333333333333333
f1score3,0.4444444444444444
roc3,0.6041666666666666
tn3,7.0
fp3,1.0
fn3,4.0
tp3,2.0
