parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.8
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1300
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.4
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,precision
num_col,110
best_score,0.5425490196078432
best_index,2236.0
acc_train,0.897196261682243
acc_val,0.5185185185185185
acc_test,0.47058823529411764
precision,0.4117647058823529
recall,0.4666666666666667
f1score,0.43749999999999994
roc,0.47017543859649125
tn,9.0
fp,10.0
fn,8.0
tp,7.0
acc_test1,0.45454545454545453
precision1,0.42857142857142855
recall1,0.6
f1score1,0.5
roc1,0.4666666666666667
tn1,2.0
fp1,4.0
fn1,2.0
tp1,3.0
acc_test2,0.36363636363636365
precision2,0.2857142857142857
recall2,0.5
f1score2,0.36363636363636365
roc2,0.39285714285714285
tn2,2.0
fp2,5.0
fn2,2.0
tp2,2.0
acc_test3,0.5833333333333334
precision3,0.6666666666666666
recall3,0.3333333333333333
f1score3,0.4444444444444444
roc3,0.5833333333333334
tn3,5.0
fp3,1.0
fn3,4.0
tp3,2.0
