parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.6
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1300
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,2
cv,
scoring,
num_col,50.0
best_score,0.6
best_index,200.0
acc_train,0.7666666666666667
acc_val,0.45161290322580644
acc_test,0.5789473684210527
precision,0.5769230769230769
recall,0.75
f1score,0.6521739130434783
roc,0.5694444444444444
tn,7.0
fp,11.0
fn,5.0
tp,15.0
acc_test1,0.6666666666666666
precision1,0.7
recall1,0.875
f1score1,0.7777777777777777
roc1,0.5625
tn1,1.0
fp1,3.0
fn1,1.0
tp1,7.0
acc_test2,0.3333333333333333
precision2,0.2857142857142857
recall2,0.4
f1score2,0.3333333333333333
roc2,0.34285714285714286
tn2,2.0
fp2,5.0
fn2,3.0
tp2,2.0
acc_test3,0.7142857142857143
precision3,0.6666666666666666
recall3,0.8571428571428571
f1score3,0.75
roc3,0.7142857142857143
tn3,4.0
fp3,3.0
fn3,1.0
tp3,6.0
