parameter,value4
boosting_type,gbdt
class_weight,
colsample_bytree,0.43
importance_type,split
learning_rate,0.007
max_depth,2
min_child_samples,20
min_child_weight,0.001
min_split_gain,0
n_estimators,150
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,0
reg_lambda,0
silent,warn
subsample,0.06
subsample_for_bin,200000
subsample_freq,0
max_delta_step,0.7
metric,binary_logloss
best_score,1
best_index,31710
acc_train,0.769230769
acc_val,0.696969697
acc_test,0.634146341
precision,0.714285714
recall,0.277777778
f1score,0.4
roc,0.595410628
tn,21
fp,2
fn,13
tp,5
acc_test1,0.615384615
precision1,0.75
recall1,0.428571429
f1score1,0.545454545
roc1,0.630952381
tn1,5
fp1,1
fn1,4
tp1,3
acc_test2,0.538461538
precision2,0.5
recall2,0.166666667
f1score2,0.25
roc2,0.511904762
tn2,6
fp2,1
fn2,5
tp2,1
acc_test3,0.733333333
precision3,1
recall3,0.2
f1score3,0.333333333
roc3,0.6
tn3,10
fp3,0
fn3,4
tp3,1
