parameter,value5
boosting_type,gbdt
class_weight,
colsample_bytree,1.0
importance_type,split
learning_rate,0.007
max_depth,2
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,150
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1.0
subsample_for_bin,200000
subsample_freq,0
bagging_fraction,0.06
feature_fraction,0.43
lambda_l1,0
lambda_l2,0
max_delta_step,0.7
metric,binary_logloss
min_data_in_leaf,20
best_score,1.0
best_index,206465.0
acc_train,0.7692307692307693
acc_val,0.696969696969697
acc_test,0.6341463414634146
precision,0.7142857142857143
recall,0.2777777777777778
f1score,0.4
roc,0.5954106280193238
tn,21.0
fp,2.0
fn,13.0
tp,5.0
acc_test1,0.6153846153846154
precision1,0.75
recall1,0.42857142857142855
f1score1,0.5454545454545454
roc1,0.6309523809523809
tn1,5.0
fp1,1.0
fn1,4.0
tp1,3.0
acc_test2,0.5384615384615384
precision2,0.5
recall2,0.16666666666666666
f1score2,0.25
roc2,0.511904761904762
tn2,6.0
fp2,1.0
fn2,5.0
tp2,1.0
acc_test3,0.7333333333333333
precision3,1.0
recall3,0.2
f1score3,0.33333333333333337
roc3,0.6
tn3,10.0
fp3,0.0
fn3,4.0
tp3,1.0
