parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.6
importance_type,split
learning_rate,0.0005
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1400
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,
num_col,110.0
best_score,0.5916666666666667
best_index,207.0
acc_train,0.8833333333333333
acc_val,0.45161290322580644
acc_test,0.5526315789473685
precision,0.6
recall,0.45
f1score,0.5142857142857143
roc,0.5583333333333333
tn,12.0
fp,6.0
fn,11.0
tp,9.0
acc_test1,0.5
precision1,0.75
recall1,0.375
f1score1,0.5
roc1,0.5625
tn1,3.0
fp1,1.0
fn1,5.0
tp1,3.0
acc_test2,0.3333333333333333
precision2,0.2
recall2,0.2
f1score2,0.20000000000000004
roc2,0.31428571428571433
tn2,3.0
fp2,4.0
fn2,4.0
tp2,1.0
acc_test3,0.7857142857142857
precision3,0.8333333333333334
recall3,0.7142857142857143
f1score3,0.7692307692307692
roc3,0.7857142857142858
tn3,6.0
fp3,1.0
fn3,2.0
tp3,5.0
