parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.6,0.6,0.6,0.7
importance_type,split,split,split,split
learning_rate,0.0017,0.0017,0.002,0.0025
max_depth,-1,-1,-1,-1
min_child_samples,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1400,1400,1500,1300
n_jobs,-1,-1,-1,-1
num_leaves,6,5,5,4
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.0,0.0,1,1
reg_lambda,0.0,0.0,1,1
silent,warn,warn,warn,warn
subsample,1,0.2,0.2,0.2
subsample_for_bin,200000,200000,200000,200000
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5,1.5,1.5
cv,,,,
scoring,precision,precision,precision,precision
num_col,110,110,110,70
best_score,0.5925,0.5925,0.5858823529411765,0.5951470588235295
best_index,280.0,543.0,633.0,1011.0
acc_train,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8888888888888888
acc_val,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185
acc_test,0.38235294117647056,0.38235294117647056,0.35294117647058826,0.38235294117647056
precision,0.4,0.4,0.3870967741935484,0.4
recall,0.8,0.8,0.8,0.8
f1score,0.5333333333333333,0.5333333333333333,0.5217391304347827,0.5333333333333333
roc,0.42631578947368426,0.42631578947368426,0.4,0.42631578947368426
tn,1.0,1.0,0.0,1.0
fp,18.0,18.0,19.0,18.0
fn,3.0,3.0,3.0,3.0
tp,12.0,12.0,12.0,12.0
acc_test1,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365
precision1,0.375,0.375,0.375,0.42857142857142855
recall1,0.5,0.5,0.5,0.5
f1score1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4615384615384615
roc1,0.25,0.25,0.25,0.35
tn1,0.0,0.0,0.0,1.0
fp1,5.0,5.0,5.0,4.0
fn1,3.0,3.0,3.0,3.0
tp1,3.0,3.0,3.0,3.0
acc_test2,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
precision2,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
recall2,1.0,1.0,1.0,1.0
f1score2,0.625,0.625,0.625,0.625
roc2,0.5,0.5,0.5,0.5
tn2,0.0,0.0,0.0,0.0
fp2,6.0,6.0,6.0,6.0
fn2,0.0,0.0,0.0,0.0
tp2,5.0,5.0,5.0,5.0
acc_test3,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333
precision3,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.3333333333333333
recall3,1.0,1.0,1.0,1.0
f1score3,0.5333333333333333,0.5333333333333333,0.5,0.5
roc3,0.5625,0.5625,0.5,0.5
tn3,1.0,1.0,0.0,0.0
fp3,7.0,7.0,8.0,8.0
fn3,0.0,0.0,0.0,0.0
tp3,4.0,4.0,4.0,4.0
