parameter,iter_1,iter_2,iter_3,iter_4,iter_5
cv,3,3,3,3,3
iterations,50,50,50,50,50
num_col,98,98,98,98,98
scoring,precision,precision,precision,precision,precision
boost_from_average,False,True,True,False,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,
colsample_bytree,0.5,0.5818035893192751,0.5818035893192751,0.8752210732548045,0.5818035893192751
force_col_wise,true,true,true,true,true
importance_type,split,split,split,split,split
learning_rate,0.0005127290222691156,0.0003952711851453308,0.0003952711851453308,0.003042910251307505,0.0003952711851453308
max_bin,291,513,513,354,513
max_depth,28,27,27,34,27
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,39,25,25,11,25
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,3819,2054,2054,1132,2349
n_jobs,-1,-1,-1,-1,-1
num_leaves,15,13,13,3,13
objective,binary,binary,binary,binary,binary
random_state,42,42,42,42,42
reg_alpha,1.9321629785924634,0.9963466755148147,0.9963466755148147,0.0977355794499436,0.9963466755148147
reg_lambda,3.5360852461822163,3.8726966959629308,3.8726966959629308,1.3505332980379485,3.8726966959629308
scale_pos_weight,0.6219992653956586,0.6684512344586391,0.6684512344586391,0.2472364199218136,0.6684512344586391
silent,warn,warn,warn,warn,warn
subsample,1.0,0.6487712293279236,0.6487712293279236,0.8783814072073713,0.6487712293279236
subsample_for_bin,223545,477471,949309,1000000,949309
subsample_freq,0,0,0,0,0
verbose,0,0,0,0,0
best_score,0.7222222222222222,0.7638888888888888,0.7638888888888888,0.85,0.7888888888888888
best_index,10.0,5.0,5.0,48.0,5.0
acc_train,0.7761194029850746,0.746268656716418,0.746268656716418,0.6616915422885572,0.7512437810945274
acc_val,0.5490196078431373,0.5686274509803921,0.5686274509803921,0.6078431372549019,0.5686274509803921
acc_test,0.6825396825396826,0.6507936507936508,0.6507936507936508,0.6349206349206349,0.6666666666666666
train_precision,0.8846153846153846,0.9722222222222222,0.9722222222222222,1.0,0.972972972972973
train_tn,110.0,115.0,115.0,116.0,115.0
train_fp,6.0,1.0,1.0,0.0,1.0
train_fn,39.0,50.0,50.0,68.0,49.0
train_tp,46.0,35.0,35.0,17.0,36.0
val_precision,0.42857142857142855,0.5,0.5,1.0,0.5
val_tn,25.0,28.0,28.0,29.0,28.0
val_fp,4.0,1.0,1.0,0.0,1.0
val_fn,19.0,21.0,21.0,20.0,21.0
val_tp,3.0,1.0,1.0,2.0,1.0
test_precision,0.7272727272727273,0.8,0.8,1.0,0.8333333333333334
recall,0.32,0.16,0.16,0.08,0.2
f1score,0.4444444444444444,0.26666666666666666,0.26666666666666666,0.14814814814814814,0.3225806451612903
roc,0.6205263157894737,0.5668421052631578,0.5668421052631578,0.54,0.5868421052631579
test_tn,35.0,37.0,37.0,38.0,37.0
test_fp,3.0,1.0,1.0,0.0,1.0
test_fn,17.0,21.0,21.0,23.0,20.0
test_tp,8.0,4.0,4.0,2.0,5.0
acc_test1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666
precision1,1.0,1.0,1.0,0.0,1.0
recall1,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222
f1score1,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0,0.3636363636363636
roc1,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5,0.6111111111111112
tn1,12.0,12.0,12.0,12.0,12.0
fp1,0.0,0.0,0.0,0.0,0.0
fn1,7.0,7.0,7.0,9.0,7.0
tp1,2.0,2.0,2.0,0.0,2.0
acc_test2,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
precision2,0.5714285714285714,0.5,0.5,0.0,0.5
recall2,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
f1score2,0.5,0.1818181818181818,0.1818181818181818,0.0,0.1818181818181818
roc2,0.5972222222222222,0.513888888888889,0.513888888888889,0.5,0.513888888888889
tn2,9.0,11.0,11.0,12.0,11.0
fp2,3.0,1.0,1.0,0.0,1.0
fn2,5.0,8.0,8.0,9.0,8.0
tp2,4.0,1.0,1.0,0.0,1.0
acc_test3,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.7619047619047619
precision3,1.0,1.0,1.0,1.0,1.0
recall3,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857
f1score3,0.4444444444444445,0.25,0.25,0.4444444444444445,0.4444444444444445
roc3,0.6428571428571428,0.5714285714285714,0.5714285714285714,0.6428571428571428,0.6428571428571428
tn3,14.0,14.0,14.0,14.0,14.0
fp3,0.0,0.0,0.0,0.0,0.0
fn3,5.0,6.0,6.0,5.0,5.0
tp3,2.0,1.0,1.0,2.0,2.0
