parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
cv,5,5,5,5,5,5,5,5,5,5,5,5,5
iterations,50,50,50,50,50,100,20,50,2,50,2,2,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,accuracy,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,False,False,False,False,False,True,False,True,False,False,True
boosting_type,dart,gbdt,gbdt,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart
class_weight,,,,,,,,,,,,,
colsample_bytree,0.7987023615818183,0.6659928053863136,0.949000230787827,0.6939445299766367,0.7843305563761576,0.7843305563761576,0.5319382806509217,0.7987023615818183,0.8732573769709853,0.7987023615818183,0.8732573769709853,0.8732573769709853,0.7987023615818183
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00033041883155897675,0.001595874213204074,0.0014026827805392165,0.0002605232759421857,0.0025218421602070874,0.0025218421602070874,0.0017131838140594486,0.00033041883155897675,0.0005400361774825231,0.00033041883155897675,0.0005400361774825231,0.0005400361774825231,0.00033041883155897675
max_bin,1000,367,195,100,932,932,938,1000,100,1000,100,100,1000
max_depth,30,50,40,12,0,0,17,30,50,30,50,50,30
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,35,20,16,39,5,5,31,35,5,35,5,5,35
min_child_weight,0.001,0.001,0.001,0.001,2.1915431037603263,2.1915431037603263,0.2267972667357203,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,4600,5000,1653,2838,700,700,1159,4600,3312,4600,3312,3312,4600
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,17,11,19,9,3,3,12,17,6,17,6,6,17
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,2.0163725484720842,0.10953179446261242,1.0858756302624866,0.34474862189386857,3.7642533766062076,3.7642533766062076,3.9949244918361284,2.0163725484720842,3.9296369051911464,2.0163725484720842,3.9296369051911464,3.9296369051911464,2.0163725484720842
reg_lambda,0.0,2.843277992673653,1.2082086499112588,3.0,4.0,4.0,0.0,0.0,0.4617594097308954,0.0,0.4617594097308954,0.4617594097308954,0.0
scale_pos_weight,0.6339488038594213,0.2,0.39320169728829735,0.6596932487281773,0.8360446748686472,0.8360446748686472,0.8576774676543892,0.6339488038594213,0.759677410338532,0.6339488038594213,0.759677410338532,0.759677410338532,0.6339488038594213
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.556124864796585,0.9169280162751913,0.5906739121864236,1.0,0.8634354896242559,0.8634354896242559,0.7440096448673246,0.556124864796585,0.005774823907382858,0.556124864796585,0.005774823907382858,0.005774823907382858,0.556124864796585
subsample_for_bin,246254,468179,244803,261529,186888,186888,137681,246254,500000,246254,500000,500000,246254
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6426551226551226,0.5641025641025641,0.5333333333333333,0.578021978021978,0.6416666666666667,0.6416666666666667,0.5067672197083961,0.6426551226551226,0.6366666666666667,0.6426551226551226,0.6366666666666667,0.6366666666666667,0.6426551226551226
best_index,42.0,28.0,21.0,19.0,24.0,24.0,15.0,42.0,0.0,42.0,0.0,0.0,42.0
acc_train,0.6303501945525292,0.754863813229572,0.7315175097276264,0.669260700389105,0.642023346303502,0.642023346303502,0.7315175097276264,0.6303501945525292,0.6964980544747081,0.6303501945525292,0.6964980544747081,0.6964980544747081,0.6303501945525292
acc_val,0.5789473684210527,0.47368421052631576,0.47368421052631576,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.5789473684210527,0.42105263157894735,0.5789473684210527,0.42105263157894735,0.42105263157894735,0.5789473684210527
acc_test,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.5217391304347826,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.5217391304347826
train_precision,0.8157894736842105,1.0,1.0,0.8695652173913043,0.7288135593220338,0.7288135593220338,0.8378378378378378,0.8157894736842105,0.9767441860465116,0.8157894736842105,0.9767441860465116,0.9767441860465116,0.8157894736842105
train_tn,131.0,138.0,138.0,132.0,122.0,122.0,126.0,131.0,137.0,131.0,137.0,137.0,131.0
train_fp,7.0,0.0,0.0,6.0,16.0,16.0,12.0,7.0,1.0,7.0,1.0,1.0,7.0
train_fn,88.0,63.0,69.0,79.0,76.0,76.0,57.0,88.0,77.0,88.0,77.0,77.0,88.0
train_tp,31.0,56.0,50.0,40.0,43.0,43.0,62.0,31.0,42.0,31.0,42.0,42.0,31.0
val_precision,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0
val_tn,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0
val_fp,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0
val_fn,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0
val_tp,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
test_precision,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
recall,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333
f1score,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385
roc,0.5416666666666666,0.5,0.5,0.5,0.5,0.5,0.5416666666666666,0.5416666666666666,0.5,0.5416666666666666,0.5,0.5,0.5416666666666666
test_tn,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
test_fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_fn,11.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,12.0,12.0,11.0
test_tp,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
