parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9332036588535947
importance_type,split
learning_rate,0.0011847240811834723
max_depth,18
min_child_samples,16
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2190
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.30000000000000004
reg_lambda,1.2000000000000002
silent,warn
subsample,0.6684947525293031
subsample_for_bin,373099
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,473
scale_pos_weight,0.30000000000000004
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6866666666666668
best_index,0.0
acc_train,0.8369565217391305
acc_val,0.4782608695652174
acc_test,0.4827586206896552
precision,0.5833333333333334
recall,0.21875
f1score,0.31818181818181823
roc,0.5132211538461539
tn,21.0
fp,5.0
fn,25.0
tp,7.0
acc_test1,0.47368421052631576
precision1,0.6666666666666666
recall1,0.18181818181818182
f1score1,0.28571428571428575
roc1,0.5284090909090909
tn1,7.0
fp1,1.0
fn1,9.0
tp1,2.0
acc_test2,0.5263157894736842
precision2,0.6666666666666666
recall2,0.2
f1score2,0.30769230769230765
roc2,0.5444444444444444
tn2,8.0
fp2,1.0
fn2,8.0
tp2,2.0
acc_test3,0.45
precision3,0.5
recall3,0.2727272727272727
f1score3,0.3529411764705882
roc3,0.4696969696969698
tn3,6.0
fp3,3.0
fn3,8.0
tp3,3.0
