parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.9332036588535947,0.017728682039998164,0.9426910925740895
importance_type,split,split,split
learning_rate,0.0011847240811834723,0.0035600355599447234,0.0001
max_depth,18,0,11
min_child_samples,16,34,23
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,2190,3144,1691
n_jobs,-1,-1,-1
num_leaves,10,14,4
objective,binary,binary,binary
random_state,,,
reg_alpha,0.30000000000000004,1.0,0.4
reg_lambda,1.2000000000000002,0.7000000000000001,0.0
silent,warn,warn,warn
subsample,0.6684947525293031,0.9781910419420708,0.8742900003384773
subsample_for_bin,373099,482568,176326
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
boost_from_average,False,True,False
force_col_wise,true,true,true
max_bin,473,656,100
scale_pos_weight,0.30000000000000004,0.5000000000000001,0.5000000000000001
cv,5,5,5
scoring,precision,precision,precision
num_col,110,110,110
iterations,10,15,15
best_score,0.6866666666666668,0.755909090909091,0.7016195569136745
best_index,0.0,12.0,12.0
acc_train,0.8369565217391305,0.8097826086956522,0.7228260869565217
acc_val,0.4782608695652174,0.5434782608695652,0.4782608695652174
acc_test,0.4827586206896552,0.603448275862069,0.4482758620689655
precision,0.5833333333333334,0.8,0.5
recall,0.21875,0.375,0.21875
f1score,0.31818181818181823,0.5106382978723405,0.30434782608695654
roc,0.5132211538461539,0.6298076923076923,0.4747596153846154
tn,21.0,23.0,19.0
fp,5.0,3.0,7.0
fn,25.0,20.0,25.0
tp,7.0,12.0,7.0
acc_test1,0.47368421052631576,0.631578947368421,0.42105263157894735
precision1,0.6666666666666666,0.75,0.5
recall1,0.18181818181818182,0.5454545454545454,0.18181818181818182
f1score1,0.28571428571428575,0.631578947368421,0.26666666666666666
roc1,0.5284090909090909,0.6477272727272727,0.46590909090909094
tn1,7.0,6.0,6.0
fp1,1.0,2.0,2.0
fn1,9.0,5.0,9.0
tp1,2.0,6.0,2.0
acc_test2,0.5263157894736842,0.5789473684210527,0.47368421052631576
precision2,0.6666666666666666,1.0,0.5
recall2,0.2,0.2,0.2
f1score2,0.30769230769230765,0.33333333333333337,0.28571428571428575
roc2,0.5444444444444444,0.6,0.4888888888888889
tn2,8.0,9.0,7.0
fp2,1.0,0.0,2.0
fn2,8.0,8.0,8.0
tp2,2.0,2.0,2.0
acc_test3,0.45,0.6,0.45
precision3,0.5,0.8,0.5
recall3,0.2727272727272727,0.36363636363636365,0.2727272727272727
f1score3,0.3529411764705882,0.5000000000000001,0.3529411764705882
roc3,0.4696969696969698,0.6262626262626263,0.4696969696969698
tn3,6.0,8.0,6.0
fp3,3.0,1.0,3.0
fn3,8.0,7.0,8.0
tp3,3.0,4.0,3.0
