parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart
class_weight,,,,,,,,,,
colsample_bytree,0.9332036588535947,0.017728682039998164,0.9426910925740895,0.49898437007873314,0.19696433160861626,0.49898437007873314,0.017728682039998164,0.017728682039998164,0.3622278172617969,0.528987135942054
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0011847240811834723,0.0035600355599447234,0.0001,0.0003304939642148201,0.00031338011934960126,0.0003304939642148201,0.0035600355599447234,0.0035600355599447234,0.000890045629333899,0.0028055967090060275
max_depth,18,0,11,29,50,29,0,0,32,21
min_child_samples,16,34,23,19,24,19,34,34,31,17
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2190,3144,1691,5903,5498,5903,3144,3144,4696,4854
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,14,4,7,5,7,14,14,14,9
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,
reg_alpha,0.30000000000000004,1.0,0.4,1.3,0.9,1.3,1.0,1.0,1.2000000000000002,0.5
reg_lambda,1.2000000000000002,0.7000000000000001,0.0,0.1,0.7000000000000001,0.1,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.5
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.9781910419420708,0.8742900003384773,0.5597576125719046,0.8537124741819209,0.5597576125719046,0.9781910419420708,0.9781910419420708,0.8161344220285284,0.9860608005968848
subsample_for_bin,373099,482568,176326,524517,590744,524517,482568,482568,230947,116672
subsample_freq,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,True,False,True,False,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true
max_bin,473,656,100,146,100,146,656,656,635,745
scale_pos_weight,0.30000000000000004,0.5000000000000001,0.5000000000000001,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.5000000000000001,0.5000000000000001,1.0000000000000002,0.7000000000000002
cv,5,5,5,5,5,5,5,5,4,3
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110
iterations,10,15,15,15,15,15,15,15,15,15
best_score,0.6866666666666668,0.755909090909091,0.7016195569136745,0.7012121212121212,0.7146428571428571,0.7012121212121212,0.755909090909091,0.755909090909091,0.6630434782608695,0.7206959706959707
best_index,0.0,12.0,12.0,7.0,12.0,7.0,12.0,12.0,6.0,4.0
acc_train,0.8369565217391305,0.8097826086956522,0.7228260869565217,0.8913043478260869,0.8478260869565217,0.8913043478260869,0.8097826086956522,0.8097826086956522,0.9184782608695652,1.0
acc_val,0.4782608695652174,0.5434782608695652,0.4782608695652174,0.5,0.5217391304347826,0.5,0.5434782608695652,0.5434782608695652,0.5217391304347826,0.4782608695652174
acc_test,0.4827586206896552,0.603448275862069,0.4482758620689655,0.46551724137931033,0.46551724137931033,0.46551724137931033,0.603448275862069,0.603448275862069,0.5,0.4482758620689655
precision,0.5833333333333334,0.8,0.5,0.5238095238095238,0.52,0.5238095238095238,0.8,0.8,0.5483870967741935,0.5
recall,0.21875,0.375,0.21875,0.34375,0.40625,0.34375,0.375,0.375,0.53125,0.34375
f1score,0.31818181818181823,0.5106382978723405,0.30434782608695654,0.4150943396226415,0.45614035087719296,0.4150943396226415,0.5106382978723405,0.5106382978723405,0.5396825396825397,0.4074074074074074
roc,0.5132211538461539,0.6298076923076923,0.4747596153846154,0.4795673076923077,0.4723557692307692,0.4795673076923077,0.6298076923076923,0.6298076923076923,0.4963942307692308,0.46033653846153844
tn,21.0,23.0,19.0,16.0,14.0,16.0,23.0,23.0,12.0,15.0
fp,5.0,3.0,7.0,10.0,12.0,10.0,3.0,3.0,14.0,11.0
fn,25.0,20.0,25.0,21.0,19.0,21.0,20.0,20.0,15.0,21.0
tp,7.0,12.0,7.0,11.0,13.0,11.0,12.0,12.0,17.0,11.0
acc_test1,0.47368421052631576,0.631578947368421,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.631578947368421,0.631578947368421,0.5263157894736842,0.47368421052631576
precision1,0.6666666666666666,0.75,0.5,0.5714285714285714,0.6,0.5714285714285714,0.75,0.75,0.5833333333333334,0.5555555555555556
recall1,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.45454545454545453
f1score1,0.28571428571428575,0.631578947368421,0.26666666666666666,0.4444444444444444,0.5714285714285713,0.4444444444444444,0.631578947368421,0.631578947368421,0.6086956521739131,0.5
roc1,0.5284090909090909,0.6477272727272727,0.46590909090909094,0.4943181818181818,0.5227272727272727,0.4943181818181818,0.6477272727272727,0.6477272727272727,0.5056818181818181,0.4772727272727273
tn1,7.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,3.0,4.0
fp1,1.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0
fn1,9.0,5.0,9.0,7.0,5.0,7.0,5.0,5.0,4.0,6.0
tp1,2.0,6.0,2.0,4.0,6.0,4.0,6.0,6.0,7.0,5.0
acc_test2,0.5263157894736842,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.5263157894736842
precision2,0.6666666666666666,1.0,0.5,0.6,0.5,0.6,1.0,1.0,0.5714285714285714,0.6
recall2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.4,0.3
