parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.5,0.4,0.4,0.5,0.5,0.5
importance_type,split,split,split,split,split,split
learning_rate,0.001,0.0005,0.0005,0.0005,0.0005,0.0005
max_depth,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1100,1100,1000,1000,1000,1300
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,6,5,5,5,5,4
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn
subsample,1,0.4,0.3,0.3,0.2,0.2
subsample_for_bin,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0,1.0,1.0,1.0
cv,,,,,,
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,100,100,95
best_score,0.5996336996336996,0.6028316610925306,0.6028316610925306,0.6078316610925306,0.6078316610925306,0.616164994425864
best_index,0.0,0.0,72.0,360.0,366.0,414.0
acc_train,0.8903225806451613,0.8451612903225807,0.8387096774193549,0.8451612903225807,0.8451612903225807,0.8258064516129032
acc_val,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
acc_test,0.6326530612244898,0.6326530612244898,0.6326530612244898,0.6530612244897959,0.6530612244897959,0.673469387755102
precision,0.6551724137931034,0.6363636363636364,0.6363636363636364,0.6470588235294118,0.6470588235294118,0.6774193548387096
recall,0.7037037037037037,0.7777777777777778,0.7777777777777778,0.8148148148148148,0.8148148148148148,0.7777777777777778
f1score,0.6785714285714286,0.7000000000000001,0.7000000000000001,0.7213114754098361,0.7213114754098361,0.7241379310344828
roc,0.6245791245791246,0.6161616161616161,0.6161616161616161,0.6346801346801347,0.6346801346801347,0.6616161616161615
tn,12.0,10.0,10.0,10.0,10.0,12.0
fp,10.0,12.0,12.0,12.0,12.0,10.0
fn,8.0,6.0,6.0,5.0,5.0,6.0
tp,19.0,21.0,21.0,22.0,22.0,21.0
acc_test1,0.6875,0.75,0.75,0.75,0.75,0.75
precision1,0.6923076923076923,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
recall1,0.9,1.0,1.0,1.0,1.0,1.0
f1score1,0.7826086956521738,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333
roc1,0.6166666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667
tn1,2.0,2.0,2.0,2.0,2.0,2.0
fp1,4.0,4.0,4.0,4.0,4.0,4.0
fn1,1.0,0.0,0.0,0.0,0.0,0.0
tp1,9.0,10.0,10.0,10.0,10.0,10.0
acc_test2,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875
precision2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
recall2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
f1score2,0.6153846153846153,0.6153846153846153,0.6153846153846153,0.6153846153846153,0.6153846153846153,0.6153846153846153
roc2,0.6833333333333332,0.6833333333333332,0.6833333333333332,0.6833333333333332,0.6833333333333332,0.6833333333333332
tn2,7.0,7.0,7.0,7.0,7.0,7.0
fp2,3.0,3.0,3.0,3.0,3.0,3.0
fn2,2.0,2.0,2.0,2.0,2.0,2.0
tp2,4.0,4.0,4.0,4.0,4.0,4.0
acc_test3,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.5882352941176471
precision3,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.6153846153846154,0.7
recall3,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364
f1score3,0.6,0.6086956521739131,0.6086956521739131,0.6666666666666667,0.6666666666666667,0.6666666666666666
roc3,0.5227272727272727,0.4015151515151515,0.4015151515151515,0.44696969696969696,0.44696969696969696,0.5681818181818181
tn3,3.0,1.0,1.0,1.0,1.0,3.0
fp3,3.0,5.0,5.0,5.0,5.0,3.0
fn3,5.0,4.0,4.0,3.0,3.0,4.0
tp3,6.0,7.0,7.0,8.0,8.0,7.0
