parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.1677891427453575
importance_type,split
learning_rate,0.0019162589666810593
max_depth,23
min_child_samples,32
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1982
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.0
reg_lambda,0.9
silent,warn
subsample,0.2639494323813032
subsample_for_bin,358803
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,435
scale_pos_weight,1.8000000000000005
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.5872893772893774
best_index,5.0
acc_train,0.8641304347826086
acc_val,0.5869565217391305
acc_test,0.5172413793103449
precision,0.4473684210526316
recall,0.7083333333333334
f1score,0.5483870967741936
roc,0.545343137254902
tn,13.0
fp,21.0
fn,7.0
tp,17.0
acc_test1,0.631578947368421
precision1,0.7
recall1,0.6363636363636364
f1score1,0.6666666666666666
roc1,0.6306818181818181
tn1,5.0
fp1,3.0
fn1,4.0
tp1,7.0
acc_test2,0.5789473684210527
precision2,0.46153846153846156
recall2,0.8571428571428571
f1score2,0.6
roc2,0.6369047619047619
tn2,5.0
fp2,7.0
fn2,1.0
tp2,6.0
acc_test3,0.35
precision3,0.26666666666666666
recall3,0.6666666666666666
f1score3,0.3809523809523809
roc3,0.44047619047619047
tn3,3.0
fp3,11.0
fn3,2.0
tp3,4.0
