parameter,value1,value2
boosting_type,gbdt,dart
class_weight,,
colsample_bytree,0.10933486275994007,0.528987135942054
importance_type,split,split
learning_rate,0.00020003937281998327,0.0028055967090060275
max_depth,8,8
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.05617670188034634,0.0
n_estimators,2938,1512
n_jobs,-1,-1
num_leaves,11,11
objective,binary,binary
random_state,,
reg_alpha,0.6000000000000001,2.6
reg_lambda,1.5,0.7000000000000001
silent,warn,warn
subsample,0.36433471742398227,0.27154694635746074
subsample_for_bin,498762,494396
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,False,True
force_col_wise,true,true
max_bin,508,745
scale_pos_weight,0.9,0.6
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.6011904761904762,0.7033333333333334
best_index,2.0,4.0
acc_train,0.8516483516483516,0.7692307692307693
acc_val,0.5869565217391305,0.6086956521739131
acc_test,0.5517241379310345,0.5
precision,0.5625,0.46153846153846156
recall,0.32142857142857145,0.21428571428571427
f1score,0.40909090909090917,0.2926829268292683
roc,0.544047619047619,0.4904761904761904
tn,23.0,23.0
fp,7.0,7.0
fn,19.0,22.0
tp,9.0,6.0
acc_test1,0.42105263157894735,0.3684210526315789
precision1,0.5714285714285714,0.5
recall1,0.3333333333333333,0.25
f1score1,0.4210526315789474,0.3333333333333333
roc1,0.45238095238095233,0.41071428571428564
tn1,4.0,4.0
fp1,3.0,3.0
fn1,8.0,9.0
tp1,4.0,3.0
acc_test2,0.631578947368421,0.631578947368421
precision2,0.5,0.5
recall2,0.14285714285714285,0.14285714285714285
f1score2,0.22222222222222224,0.22222222222222224
roc2,0.5297619047619047,0.5297619047619047
tn2,11.0,11.0
fp2,1.0,1.0
fn2,6.0,6.0
tp2,1.0,1.0
acc_test3,0.6,0.5
precision3,0.5714285714285714,0.4
recall3,0.4444444444444444,0.2222222222222222
f1score3,0.5,0.2857142857142857
roc3,0.5858585858585859,0.47474747474747475
tn3,8.0,8.0
fp3,3.0,3.0
fn3,5.0,7.0
tp3,4.0,2.0
