parameter,value1,value2,value3,value4,value5,value6,value7,value8,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.872293668820899,0.49898437007873314,0.872293668820899,0.1677891427453575,0.872293668820899,0.1677891427453575,0.1677891427453575,0.1677891427453575,0.49898437007873314,0.005,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.49898437007873314,0.5190551457012387,0.10933486275994007,0.6337500659409369,1.0,0.49898437007873314,0.49898437007873314
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00040783886902393755,0.0003304939642148201,0.00040783886902393755,0.0019162589666810593,0.00040783886902393755,0.0019162589666810593,0.0019162589666810593,0.0019162589666810593,0.0003304939642148201,0.0030918812808485995,0.00020003937281998327,0.00020003937281998327,0.00020003937281998327,0.0003304939642148201,0.0002734994340446641,0.00020003937281998327,0.0003642243664152373,0.0001,0.0003304939642148201,0.0003304939642148201
max_depth,0,29,0,23,0,23,23,23,29,21,8,8,8,29,25,8,18,7,29,29
min_child_samples,26,19,26,32,26,32,32,32,19,14,25,25,25,19,27,25,40,5,19,19
min_child_weight,0.001,8,2,5,2,5,5,5,7,7,9,9,9,7,10,8,2,1,7,7
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1105,1545,5534,4410,5534,4410,4410,4410,3015,700,7242,5132,5132,3015,2572,5132,5892,2653,3015,3015
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,12,10,8,10,8,10,10,10,10,15,8,8,8,10,14,8,3,15,10,13
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,,,,,,,,,
reg_alpha,0.2,0.1,0.4,0.9,0.5,0.9,0.9,0.9,0.1,0.8,1.0,1.0,1.0,0.1,0.0,1.0,1.9000000000000001,1.4000000000000001,0.1,0.1
reg_lambda,0.4,0.5,0.7000000000000001,1.8,1.1,1.8,2.8000000000000003,2.8000000000000003,0.8,0.0,0.8,0.8,0.8,0.8,0.30000000000000004,1.3,2.9000000000000004,0.0,0.8,0.8
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.40764193647046626,0.8497893690756705,0.7473968543326747,0.6487712293279236,0.7473968543326747,0.6487712293279236,0.6487712293279236,0.6487712293279236,0.8497893690756705,0.9967909412322536,0.9969204043266121,0.9969204043266121,0.9969204043266121,0.8497893690756705,0.2593099625400015,0.9969204043266121,0.005,1.0,0.8497893690756705,0.8497893690756705
subsample_for_bin,398451,115208,481885,477471,481885,477471,477471,477471,115208,100000,307068,192030,192030,115208,374336,192030,310477,100000,115208,115208
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,290,146,290,435,290,435,435,435,146,100,508,508,508,146,147,508,100,367,146,146
scale_pos_weight,0.8000000000000003,1.1000000000000003,0.9000000000000001,0.6000000000000001,0.9000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.1000000000000003,1.1000000000000003,0.8000000000000003,0.8000000000000003,0.8000000000000003,1.1000000000000003,1.2000000000000004,0.8000000000000003,1.0000000000000002,1.5000000000000004,1.1000000000000003,1.1000000000000003
cv,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
iterations,10,10,10,10,10,20,20,30,20,30,15,15,20,20,20,20,20,20,20,20
best_score,0.7,0.8666666666666666,0.6639471639471639,0.6799999999999999,0.6525092554504319,0.6799999999999999,0.6916666666666667,0.6916666666666667,0.5796055796055796,0.5899470899470899,0.6222222222222222,0.7333333333333334,0.7333333333333334,0.5796055796055796,0.5790849673202615,0.5944444444444444,0.5892857142857143,0.6220238095238095,0.5796055796055796,0.5796055796055796
best_index,8.0,7.0,8.0,5.0,8.0,5.0,5.0,5.0,7.0,24.0,2.0,2.0,2.0,7.0,14.0,2.0,10.0,16.0,7.0,7.0
acc_train,0.6775956284153005,0.7759562841530054,0.9344262295081968,0.9180327868852459,0.9289617486338798,0.9180327868852459,0.912568306010929,0.912568306010929,0.8688524590163934,0.7978142076502732,0.73224043715847,0.726775956284153,0.726775956284153,0.8688524590163934,0.8306010928961749,0.7377049180327869,0.819672131147541,0.8415300546448088,0.8688524590163934,0.8688524590163934
acc_val,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6304347826086957,0.5652173913043478,0.5869565217391305,0.5652173913043478,0.5652173913043478,0.6304347826086957,0.6304347826086957,0.5869565217391305,0.6086956521739131,0.5652173913043478,0.6304347826086957,0.6304347826086957
acc_test,0.46551724137931033,0.5,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.603448275862069,0.5344827586206896,0.5,0.5172413793103449,0.5172413793103449,0.603448275862069,0.5517241379310345,0.5344827586206896,0.5517241379310345,0.5,0.603448275862069,0.603448275862069
precision,0.3333333333333333,0.5,0.5789473684210527,0.5882352941176471,0.5789473684210527,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6666666666666666,0.5714285714285714,0.5,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.5789473684210527,0.5714285714285714,0.5652173913043478,0.5,0.6666666666666666,0.6666666666666666
recall,0.06896551724137931,0.10344827586206896,0.3793103448275862,0.3448275862068966,0.3793103448275862,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.41379310344827586,0.27586206896551724,0.20689655172413793,0.2413793103448276,0.2413793103448276,0.41379310344827586,0.3793103448275862,0.27586206896551724,0.4482758620689655,0.20689655172413793,0.41379310344827586,0.41379310344827586
f1score,0.1142857142857143,0.17142857142857143,0.45833333333333337,0.4347826086956522,0.45833333333333337,0.4347826086956522,0.4347826086956522,0.4347826086956522,0.5106382978723404,0.37209302325581395,0.2926829268292683,0.3333333333333333,0.3333333333333333,0.5106382978723404,0.45833333333333337,0.37209302325581395,0.4999999999999999,0.2926829268292683,0.5106382978723404,0.5106382978723404
roc,0.4655172413793103,0.5,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.603448275862069,0.5344827586206897,0.5,0.5172413793103449,0.5172413793103449,0.603448275862069,0.5517241379310345,0.5344827586206897,0.5517241379310345,0.5,0.603448275862069,0.603448275862069
