parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,
colsample_bytree,0.1677891427453575,0.1677891427453575,0.44866389318358046,0.44866389318358046,0.005,0.5472903892395303,0.1677891427453575,0.08880245515977164,0.1677891427453575,0.1677891427453575,0.3435766246467446,0.1677891427453575,0.1677891427453575
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0019162589666810593,0.0019162589666810593,0.0005798147744998168,0.0005798147744998168,0.004,0.004,0.0019162589666810593,0.0022849156545290137,0.0019162589666810593,0.0019162589666810593,0.0019558049240457408,0.0019162589666810593,0.0019162589666810593
max_depth,23,23,7,7,46,0,23,24,23,23,38,23,23
min_child_samples,32,32,18,18,40,31,32,20,32,32,33,32,32
min_child_weight,5,5,4,4,1,0,3,0,10,7,7,7,7
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,4410,4410,5192,5192,6854,2243,6177,5175,6177,6177,3443,6177,6177
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,10,4,4,3,15,10,8,10,10,8,10,10
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,,
reg_alpha,0.9,0.9,1.0,1.0,1.5,0.0,0.9,0.0,0.9,0.9,1.1,1.4000000000000001,1.4000000000000001
reg_lambda,2.8000000000000003,2.8000000000000003,0.6000000000000001,0.6000000000000001,1.9000000000000001,1.9000000000000001,1.8,1.9000000000000001,1.8,1.8,0.8,2.8000000000000003,2.8000000000000003
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6487712293279236,0.6487712293279236,0.6727558138107733,0.6727558138107733,1.0,0.005,0.6487712293279236,0.8769821808064125,0.6487712293279236,0.6487712293279236,0.7259402303461715,0.6487712293279236,0.6487712293279236
subsample_for_bin,477471,477471,101752,101752,500000,500000,477471,263252,477471,477471,273663,477471,571838
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,True,True,True,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,435,435,747,747,1000,100,435,438,435,622,686,622,622
scale_pos_weight,0.6000000000000001,0.6000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.2,0.6000000000000001,0.30000000000000004,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001
cv,3,5,5,5,5,5,5,5,5,5,7,7,7
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110
iterations,20,20,20,15,15,15,15,15,15,15,15,15,15
best_score,0.6168831168831169,0.666025641025641,0.7666666666666666,0.7666666666666666,0.6888888888888889,0.8833333333333332,0.5901247771836007,0.8400000000000001,0.6933333333333332,0.5909090909090909,0.677891156462585,0.696031746031746,0.696031746031746
best_index,5.0,5.0,12.0,12.0,10.0,12.0,5.0,10.0,5.0,5.0,11.0,5.0,5.0
acc_train,0.9130434782608695,0.9130434782608695,0.7717391304347826,0.7717391304347826,0.8586956521739131,0.782608695652174,0.9565217391304348,0.9619565217391305,0.7771739130434783,0.907608695652174,0.842391304347826,0.8586956521739131,0.8586956521739131
acc_val,0.6304347826086957,0.6304347826086957,0.5869565217391305,0.5869565217391305,0.6304347826086957,0.5869565217391305,0.6086956521739131,0.5434782608695652,0.6304347826086957,0.6086956521739131,0.6304347826086957,0.6086956521739131,0.6086956521739131
acc_test,0.5172413793103449,0.5172413793103449,0.5,0.5,0.41379310344827586,0.46551724137931033,0.5172413793103449,0.4482758620689655,0.4482758620689655,0.5172413793103449,0.5172413793103449,0.5517241379310345,0.5517241379310345
precision,0.5625,0.5625,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.4,0.55,0.375,0.4166666666666667,0.55,0.5714285714285714,0.6,0.6
recall,0.3,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.36666666666666664,0.1,0.16666666666666666,0.36666666666666664,0.26666666666666666,0.4,0.4
f1score,0.3913043478260869,0.3913043478260869,0.21621621621621623,0.21621621621621623,0.19047619047619044,0.1142857142857143,0.43999999999999995,0.15789473684210528,0.23809523809523808,0.43999999999999995,0.36363636363636365,0.48,0.48
