parameter,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
reg_lambda,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565,0.4488857071819565
subsample_for_bin,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635,225635
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005
cv,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
iterations,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
best_score,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207,0.5513818930923207
best_index,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
acc_train,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938,0.6958762886597938
acc_val,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469
acc_test,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.5081967213114754
precision,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
recall,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
f1score,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737
roc,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066,0.5565934065934066
tn,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
fp,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
fn,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
tp,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
acc_test1,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
