parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.872293668820899
importance_type,split
learning_rate,0.00040783886902393755
max_depth,0
min_child_samples,26
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1105
n_jobs,-1
num_leaves,12
objective,binary
random_state,
reg_alpha,0.2
reg_lambda,0.4
silent,warn
subsample,0.40764193647046626
subsample_for_bin,398451
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,290
scale_pos_weight,0.8000000000000003
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.7
best_index,8.0
acc_train,0.6775956284153005
acc_val,0.6086956521739131
acc_test,0.46551724137931033
precision,0.3333333333333333
recall,0.06896551724137931
f1score,0.1142857142857143
roc,0.4655172413793103
tn,25.0
fp,4.0
fn,27.0
tp,2.0
acc_test1,0.3684210526315789
precision1,0.5
recall1,0.08333333333333333
f1score1,0.14285714285714285
roc1,0.47023809523809523
tn1,6.0
fp1,1.0
fn1,11.0
tp1,1.0
acc_test2,0.5263157894736842
precision2,0.0
recall2,0.0
f1score2,0.0
roc2,0.45454545454545453
tn2,10.0
fp2,1.0
fn2,8.0
tp2,0.0
acc_test3,0.5
precision3,0.3333333333333333
recall3,0.1111111111111111
f1score3,0.16666666666666666
roc3,0.46464646464646464
tn3,9.0
fp3,2.0
fn3,8.0
tp3,1.0
