parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.9332036588535947,0.872293668820899
importance_type,split,split
learning_rate,0.0011847240811834723,0.00040783886902393755
max_depth,18,0
min_child_samples,16,26
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2190,1105
n_jobs,-1,-1
num_leaves,10,12
objective,binary,binary
random_state,,
reg_alpha,0.30000000000000004,0.2
reg_lambda,1.2000000000000002,0.4
silent,warn,warn
subsample,0.6684947525293031,0.40764193647046626
subsample_for_bin,373099,398451
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,False,True
force_col_wise,true,true
max_bin,473,290
scale_pos_weight,0.30000000000000004,0.8000000000000003
cv,5,5
scoring,precision,precision
num_col,110,81
iterations,10,10
best_score,0.6833333333333333,0.7
best_index,0.0,8.0
acc_train,0.7692307692307693,0.7142857142857143
acc_val,0.6304347826086957,0.6086956521739131
acc_test,0.43103448275862066,0.5172413793103449
precision,0.14285714285714285,0.5
recall,0.03571428571428571,0.17857142857142858
f1score,0.05714285714285715,0.2631578947368421
roc,0.4178571428571429,0.5059523809523809
tn,24.0,25.0
fp,6.0,5.0
fn,27.0,23.0
tp,1.0,5.0
acc_test1,0.3157894736842105,0.47368421052631576
precision1,0.0,0.75
recall1,0.0,0.25
f1score1,0.0,0.375
roc1,0.4285714285714286,0.5535714285714287
tn1,6.0,6.0
fp1,1.0,1.0
fn1,12.0,9.0
tp1,0.0,3.0
acc_test2,0.5263157894736842,0.5789473684210527
precision2,0.25,0.3333333333333333
recall2,0.14285714285714285,0.14285714285714285
f1score2,0.18181818181818182,0.2
roc2,0.4464285714285714,0.4880952380952381
tn2,9.0,10.0
fp2,3.0,2.0
fn2,6.0,6.0
tp2,1.0,1.0
acc_test3,0.45,0.5
precision3,0.0,0.3333333333333333
recall3,0.0,0.1111111111111111
f1score3,0.0,0.16666666666666666
roc3,0.40909090909090906,0.46464646464646464
tn3,9.0,9.0
fp3,2.0,2.0
fn3,9.0,8.0
tp3,0.0,1.0
