parameter,value2,value3
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.8729354091785829,0.8729354091785829
importance_type,split,split
learning_rate,0.0009896828112718643,0.0009896828112718643
max_depth,11,11
min_child_samples,21,21
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1216,1216
n_jobs,-1,-1
num_leaves,4,4
objective,binary,binary
random_state,,
reg_alpha,1.6,1.6
reg_lambda,0.4,0.4
silent,warn,warn
subsample,0.1932757915911235,0.1932757915911235
subsample_for_bin,247054,247054
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.4533333333333333,0.4533333333333333
best_index,8.0,8.0
acc_train,0.8201438848920863,0.8201438848920863
acc_val,0.5714285714285714,0.5714285714285714
acc_test,0.45454545454545453,0.45454545454545453
precision,0.3333333333333333,0.3333333333333333
recall,0.2,0.2
f1score,0.25,0.25
roc,0.43333333333333335,0.43333333333333335
tn,16.0,16.0
fp,8.0,8.0
fn,16.0,16.0
tp,4.0,4.0
acc_test1,0.5714285714285714,0.5714285714285714
precision1,0.5,0.5
recall1,0.3333333333333333,0.3333333333333333
f1score1,0.4,0.4
roc1,0.5416666666666666,0.5416666666666666
tn1,6.0,6.0
fp1,2.0,2.0
fn1,4.0,4.0
tp1,2.0,2.0
acc_test2,0.42857142857142855,0.42857142857142855
precision2,0.5,0.5
recall2,0.125,0.125
f1score2,0.2,0.2
roc2,0.4791666666666667,0.4791666666666667
tn2,5.0,5.0
fp2,1.0,1.0
fn2,7.0,7.0
tp2,1.0,1.0
acc_test3,0.375,0.375
precision3,0.16666666666666666,0.16666666666666666
recall3,0.16666666666666666,0.16666666666666666
f1score3,0.16666666666666666,0.16666666666666666
roc3,0.33333333333333337,0.33333333333333337
tn3,5.0,5.0
fp3,5.0,5.0
fn3,5.0,5.0
tp3,1.0,1.0
