parameter,value1,value2,value3,value4,value5
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,
colsample_bytree,0.1677891427453575,0.1677891427453575,0.44866389318358046,0.44866389318358046,0.005
importance_type,split,split,split,split,split
learning_rate,0.0019162589666810593,0.0019162589666810593,0.0005798147744998168,0.0005798147744998168,0.004
max_depth,23,23,7,7,46
min_child_samples,32,32,18,18,40
min_child_weight,5,5,4,4,1
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,4410,4410,5192,5192,6854
n_jobs,-1,-1,-1,-1,-1
num_leaves,10,10,4,4,3
objective,binary,binary,binary,binary,binary
random_state,,,,,
reg_alpha,0.9,0.9,1.0,1.0,1.5
reg_lambda,2.8000000000000003,2.8000000000000003,0.6000000000000001,0.6000000000000001,1.9000000000000001
silent,warn,warn,warn,warn,warn
subsample,0.6487712293279236,0.6487712293279236,0.6727558138107733,0.6727558138107733,1.0
subsample_for_bin,477471,477471,101752,101752,500000
subsample_freq,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1
boost_from_average,True,True,True,True,True
force_col_wise,true,true,true,true,true
max_bin,435,435,747,747,1000
scale_pos_weight,0.6000000000000001,0.6000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
cv,3,5,5,5,5
scoring,precision,precision,precision,precision,precision
num_col,110,110,110,110,110
iterations,20,20,20,15,15
best_score,0.6168831168831169,0.666025641025641,0.7666666666666666,0.7666666666666666,0.6888888888888889
best_index,5.0,5.0,12.0,12.0,10.0
acc_train,0.9130434782608695,0.9130434782608695,0.7717391304347826,0.7717391304347826,0.8586956521739131
acc_val,0.6304347826086957,0.6304347826086957,0.5869565217391305,0.5869565217391305,0.6304347826086957
acc_test,0.5172413793103449,0.5172413793103449,0.5,0.5,0.41379310344827586
precision,0.5625,0.5625,0.5714285714285714,0.5714285714285714,0.3333333333333333
recall,0.3,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333
f1score,0.3913043478260869,0.3913043478260869,0.21621621621621623,0.21621621621621623,0.19047619047619044
roc,0.525,0.525,0.513095238095238,0.513095238095238,0.4238095238095238
tn,21.0,21.0,25.0,25.0,20.0
fp,7.0,7.0,3.0,3.0,8.0
fn,21.0,21.0,26.0,26.0,26.0
tp,9.0,9.0,4.0,4.0,4.0
acc_test1,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.3157894736842105
precision1,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4
recall1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
f1score1,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.2857142857142857,0.23529411764705882
roc1,0.5238095238095237,0.5238095238095237,0.5833333333333334,0.5833333333333334,0.369047619047619
tn1,5.0,5.0,7.0,7.0,4.0
fp1,2.0,2.0,0.0,0.0,3.0
fn1,8.0,8.0,10.0,10.0,10.0
tp1,4.0,4.0,2.0,2.0,2.0
acc_test2,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.47368421052631576
precision2,0.6,0.6,0.5,0.5,0.3333333333333333
recall2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111
f1score2,0.42857142857142855,0.42857142857142855,0.1818181818181818,0.1818181818181818,0.16666666666666666
roc2,0.5666666666666667,0.5666666666666667,0.5055555555555555,0.5055555555555555,0.4555555555555556
tn2,8.0,8.0,9.0,9.0,8.0
fp2,2.0,2.0,1.0,1.0,2.0
fn2,6.0,6.0,8.0,8.0,8.0
tp2,3.0,3.0,1.0,1.0,1.0
acc_test3,0.5,0.5,0.5,0.5,0.45
precision3,0.4,0.4,0.3333333333333333,0.3333333333333333,0.25
recall3,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111
f1score3,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.15384615384615383
roc3,0.47474747474747475,0.47474747474747475,0.46464646464646464,0.46464646464646464,0.4191919191919192
tn3,8.0,8.0,9.0,9.0,8.0
fp3,3.0,3.0,2.0,2.0,3.0
fn3,7.0,7.0,8.0,8.0,8.0
tp3,2.0,2.0,1.0,1.0,1.0
