parameter,value1,value2,value3,value4,value5
acc_test,0.45454545454545453,0.5,0.45454545454545453,0.45454545454545453,0.4090909090909091
acc_test1,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5
acc_test2,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715
acc_test3,0.375,0.4375,0.375,0.375,0.375
acc_train,0.8201438848920863,0.7553956834532374,0.8848920863309353,0.8848920863309353,0.9856115107913669
acc_val,0.5714285714285714,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6
best_index,8.0,7.0,774.0,774.0,1788.0
best_score,0.4533333333333333,0.6,0.5766666666666667,0.5766666666666667,0.4523076923076923
boost_from_average,True,True,,,
boosting_type,gbdt,goss,gbdt,gbdt,gbdt
class_weight,,,,,
colsample_bytree,0.8729354091785829,0.5015020365607495,0.6,0.6,0.8
cv,5,5,5,5,5
f1score,0.25,0.15384615384615383,0.25,0.25,0.23529411764705882
f1score1,0.4,0.2857142857142857,0.4,0.4,0.2222222222222222
f1score2,0.2,0.2,0.2,0.2,0.18181818181818182
f1score3,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.28571428571428575
fn,16.0,18.0,16.0,16.0,16.0
fn1,4.0,5.0,4.0,4.0,5.0
fn2,7.0,7.0,7.0,7.0,7.0
fn3,5.0,6.0,5.0,5.0,4.0
force_col_wise,true,true,,,
fp,8.0,4.0,8.0,8.0,10.0
fp1,2.0,0.0,2.0,2.0,2.0
fp2,1.0,1.0,1.0,1.0,2.0
fp3,5.0,3.0,5.0,5.0,6.0
importance_type,split,split,split,split,split
iterations,10,10,10,10,10
learning_rate,0.0009896828112718643,0.0008935887340296632,0.0017,0.0017,0.0017
max_depth,11,3,-1,-1,-1
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,21,11,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,1216,1070,1200,1200,1400
n_jobs,-1,-1,-1,-1,-1
num_col,110,110,40,110,110
num_leaves,4,9,4,4,5
objective,binary,binary,binary,binary,binary
precision,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857
precision1,0.5,1.0,0.5,0.5,0.3333333333333333
precision2,0.5,0.5,0.5,0.5,0.3333333333333333
precision3,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.25
random_state,,,42,42,42
recall,0.2,0.1,0.2,0.2,0.2
recall1,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
recall2,0.125,0.125,0.125,0.125,0.125
recall3,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333
reg_alpha,1.6,2.2,0.0,0.0,0.0
reg_lambda,0.4,2.6,0.0,0.0,0.0
roc,0.43333333333333335,0.46666666666666673,0.43333333333333335,0.43333333333333335,0.3916666666666666
roc1,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.5416666666666666,0.4583333333333333
roc2,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.39583333333333337
roc3,0.33333333333333337,0.35,0.33333333333333337,0.33333333333333337,0.36666666666666664
scale_pos_weight,,,1.0,1.0,1.0
scoring,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn
subsample,0.1932757915911235,0.08532107526802597,0.1,0.1,0.1
subsample_for_bin,247054,209797,250000,250000,250000
subsample_freq,0,0,0,0,0
tn,16.0,20.0,16.0,16.0,14.0
tn1,6.0,8.0,6.0,6.0,6.0
tn2,5.0,5.0,5.0,5.0,4.0
tn3,5.0,7.0,5.0,5.0,4.0
tp,4.0,2.0,4.0,4.0,4.0
tp1,2.0,1.0,2.0,2.0,1.0
tp2,1.0,1.0,1.0,1.0,1.0
tp3,1.0,0.0,1.0,1.0,2.0
verbose,1,1,,,
