parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.10933486275994007
importance_type,split
learning_rate,0.00020003937281998327
max_depth,8
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.05617670188034634
n_estimators,2938
n_jobs,-1
num_leaves,11
objective,binary
random_state,
reg_alpha,0.6000000000000001
reg_lambda,1.5
silent,warn
subsample,0.36433471742398227
subsample_for_bin,498762
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,508
scale_pos_weight,0.9
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6011904761904762
best_index,2.0
acc_train,0.8516483516483516
acc_val,0.5869565217391305
acc_test,0.5517241379310345
precision,0.5625
recall,0.32142857142857145
f1score,0.40909090909090917
roc,0.544047619047619
tn,23.0
fp,7.0
fn,19.0
tp,9.0
acc_test1,0.42105263157894735
precision1,0.5714285714285714
recall1,0.3333333333333333
f1score1,0.4210526315789474
roc1,0.45238095238095233
tn1,4.0
fp1,3.0
fn1,8.0
tp1,4.0
acc_test2,0.631578947368421
precision2,0.5
recall2,0.14285714285714285
f1score2,0.22222222222222224
roc2,0.5297619047619047
tn2,11.0
fp2,1.0
fn2,6.0
tp2,1.0
acc_test3,0.6
precision3,0.5714285714285714
recall3,0.4444444444444444
f1score3,0.5
roc3,0.5858585858585859
tn3,8.0
fp3,3.0
fn3,5.0
tp3,4.0
