parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9332036588535947
importance_type,split
learning_rate,0.0011847240811834723
max_depth,18
min_child_samples,16
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2190
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.30000000000000004
reg_lambda,1.2000000000000002
silent,warn
subsample,0.6684947525293031
subsample_for_bin,373099
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,473
scale_pos_weight,0.30000000000000004
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6833333333333333
best_index,0.0
acc_train,0.7692307692307693
acc_val,0.6304347826086957
acc_test,0.43103448275862066
precision,0.14285714285714285
recall,0.03571428571428571
f1score,0.05714285714285715
roc,0.4178571428571429
tn,24.0
fp,6.0
fn,27.0
tp,1.0
acc_test1,0.3157894736842105
precision1,0.0
recall1,0.0
f1score1,0.0
roc1,0.4285714285714286
tn1,6.0
fp1,1.0
fn1,12.0
tp1,0.0
acc_test2,0.5263157894736842
precision2,0.25
recall2,0.14285714285714285
f1score2,0.18181818181818182
roc2,0.4464285714285714
tn2,9.0
fp2,3.0
fn2,6.0
tp2,1.0
acc_test3,0.45
precision3,0.0
recall3,0.0
f1score3,0.0
roc3,0.40909090909090906
tn3,9.0
fp3,2.0
fn3,9.0
tp3,0.0
