parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28
cv,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,93,98,98
scoring,precision,accuracy,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True
boosting_type,gbdt,dart,dart,gbdt,gbdt,dart,gbdt,dart,dart,gbdt,gbdt,dart,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,dart,gbdt
class_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.4617917497038803,0.005,0.005,0.19592388783884274,0.4697207037583611,1.0,0.4617917497038803,0.981064173461937,0.6335730139617697,0.5732264307646517,0.1676615972076227,0.12470081700181279,0.4617917497038803,0.31477225012846605,0.5122345312343543,0.612618301034722,0.4446504092198709,0.621154891973546,0.47427792484355125,0.5961821157986967,0.49582900596809676,0.7413855545139226,0.6134437062561002,1.0,0.47427792484355125,0.21955574287924265,0.01960915636600065,0.47427792484355125
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00016912419196959662,0.002557841495312446,0.0009434593165094137,0.001988470574724071,0.0005225139508923983,0.004,0.00016912419196959662,0.00012312777620154613,0.0001,0.00033570396735668376,0.0038455806536091776,0.00017061748271273968,0.00016912419196959662,0.0009882231218445938,0.0019279917088196495,0.0001541242358255676,0.00010032169059854374,0.000901795809147201,0.00010096661058704857,0.0006663840787813581,0.001472348738340859,0.0003543369248656946,0.0001,0.0001,0.00010096661058704857,0.0020604766630372175,0.0003480749431112908,0.00010096661058704857
max_bin,404,1000,877,357,373,530,404,407,860,296,544,263,404,665,100,1000,592,718,563,820,475,913,210,1000,563,965,848,563
max_depth,48,21,24,3,14,8,48,3,47,14,21,26,48,5,42,50,0,50,29,46,1,7,0,50,29,50,6,29
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,6,14,8,6,13,40,6,10,15,17,11,8,6,7,5,11,35,40,18,6,34,10,14,5,18,6,5,18
min_child_weight,0.001,0.001,3.531353431131914,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.8515019660786098,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1077,4809,4883,3550,2863,5834,1077,1296,1752,4908,3037,4441,1077,4381,3590,1350,2350,4432,2185,897,2472,5000,4842,700,2185,5000,700,2185
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,15,10,15,6,8,3,15,11,13,5,8,3,15,14,15,11,10,7,8,9,18,9,17,25,8,6,12,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.7682695665552228,2.0187203024158307,1.893825777410136,2.580539635704615,4.0,0.0,3.458836433090629,0.0,3.734967117850822,1.577650361314767,3.8694767327516715,0.0,3.756158686174029,2.0,0.15171351620362505,0.049734408782652256,2.855231034710002,0.21155420552148133,2.234077090757758,3.398876402249207,3.004845108284047,0.9293268449395929,0.0,0.21155420552148133,3.436251227539471,0.0,0.21155420552148133
reg_lambda,2.95720958291458,1.0909579973369898,3.3412970172238867,2.3480571082300417,2.687724429309637,3.614557593998123,2.95720958291458,2.642150839317806,4.0,1.2512713110732492,0.7489927476461409,3.0002616355583758,2.95720958291458,2.651433352134178,0.0,5.0,0.780782782146548,2.6853274321275524,3.718069958229693,0.6201662941317617,1.0888858280642586,1.5659155242839589,0.7093888871146928,4.0,3.718069958229693,2.2295743820171032,0.35922912781640387,3.718069958229693
scale_pos_weight,1.5721269963930677,1.019913384584087,0.8891342630247803,0.2618047524525857,0.6093990670632314,0.5705991680871132,1.5721269963930677,0.8211937487985266,0.6991801089155243,0.7099609772715965,0.23511714067345185,0.7298278413634476,1.5721269963930677,0.6393234582606591,0.599927979970477,0.7633708241551149,1.2383788229419124,0.6828866047325928,0.9143857320074029,0.5424792643919506,0.7394025629350109,0.6247078206826773,0.5635375660761723,0.2,0.9143857320074029,0.36432863747501415,1.2194844937576272,0.9143857320074029
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6186074546288007,1.0,0.1469780414852527,0.9706692142057772,0.797273474893927,0.4393423867425799,0.6186074546288007,0.2841577860756091,0.45559893153198644,0.9495021633515645,0.39584416237467485,0.9156003155702362,0.6186074546288007,0.95709269430685,0.08870644927687626,0.6543308836971229,0.8514741249264427,0.4097776567386094,0.6056019170027584,0.005,0.2561619935266043,1.0,0.9923432816466015,1.0,0.6056019170027584,0.8362229973520865,0.31077675241009206,0.6056019170027584
subsample_for_bin,131486,353225,346139,521398,498041,350753,131486,315936,100000,312859,100920,500000,131486,151317,500000,100000,100000,310969,372113,276201,101952,248473,100000,100000,372113,302274,100000,372113
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.688888888888889,0.6464646464646465,0.7095238095238096,0.75,0.7627557627557628,0.9047619047619048,0.688888888888889,0.6762371615312791,0.6845238095238096,0.6793650793650793,0.7000000000000001,0.6666666666666666,0.688888888888889,0.6751648351648352,0.6485545106234761,0.6929824561403509,0.6553376906318084,0.6507936507936507,0.6666666666666666,0.7194444444444444,0.6791666666666667,0.7407867494824015,0.6752136752136751,0.7857142857142857,0.6666666666666666,0.7777777777777777,0.7936507936507936,0.6666666666666666
best_index,30.0,35.0,38.0,33.0,40.0,26.0,30.0,40.0,11.0,24.0,40.0,21.0,30.0,17.0,30.0,16.0,19.0,43.0,40.0,26.0,11.0,36.0,27.0,12.0,40.0,37.0,12.0,40.0
acc_train,0.7878787878787878,0.9090909090909091,0.7373737373737373,0.6767676767676768,0.7727272727272727,0.7070707070707071,0.7878787878787878,0.6767676767676768,0.696969696969697,0.7525252525252525,0.7424242424242424,0.6363636363636364,0.7878787878787878,0.8535353535353535,0.98989898989899,0.7121212121212122,0.6666666666666666,0.7676767676767676,0.601010101010101,0.7222222222222222,0.6818181818181818,0.7878787878787878,0.702020202020202,0.6666666666666666,0.601010101010101,0.6767676767676768,0.8282828282828283,0.601010101010101
acc_val,0.56,0.76,0.72,0.58,0.6,0.64,0.56,0.52,0.6,0.62,0.58,0.7,0.56,0.64,0.54,0.48,0.64,0.62,0.52,0.5,0.64,0.58,0.48,0.54,0.52,0.58,0.6,0.52
acc_test,0.6507936507936508,0.5555555555555556,0.5714285714285714,0.5873015873015873,0.6190476190476191,0.5714285714285714,0.6507936507936508,0.6190476190476191,0.6507936507936508,0.5873015873015873,0.5714285714285714,0.5873015873015873,0.6507936507936508,0.5714285714285714,0.5873015873015873,0.6507936507936508,0.6349206349206349,0.5555555555555556,0.6666666666666666,0.6349206349206349,0.6190476190476191,0.6031746031746031,0.6507936507936508,0.6031746031746031,0.6666666666666666,0.6031746031746031,0.5873015873015873,0.6666666666666666
precision,0.7142857142857143,0.44,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.4166666666666667,0.7142857142857143,0.5555555555555556,0.6666666666666666,0.4666666666666667,0.3333333333333333,0.4,0.7142857142857143,0.45,0.48,0.6666666666666666,0.6,0.42105263157894735,0.75,0.625,0.5454545454545454,0.5,0.6666666666666666,0.5,0.75,0.5,0.3333333333333333,0.75
recall,0.2,0.44,0.08,0.04,0.24,0.2,0.2,0.2,0.24,0.28,0.08,0.08,0.2,0.36,0.48,0.24,0.24,0.32,0.24,0.2,0.24,0.32,0.24,0.08,0.24,0.04,0.04,0.24
f1score,0.3125,0.44,0.12903225806451613,0.07142857142857142,0.3333333333333333,0.2702702702702703,0.3125,0.29411764705882354,0.3529411764705882,0.35000000000000003,0.12903225806451613,0.13333333333333333,0.3125,0.39999999999999997,0.48,0.3529411764705882,0.34285714285714286,0.3636363636363636,0.36363636363636365,0.30303030303030304,0.3333333333333333,0.39024390243902435,0.3529411764705882,0.13793103448275865,0.36363636363636365,0.07407407407407407,0.07142857142857142,0.36363636363636365
roc,0.5736842105263158,0.5357894736842105,0.4873684210526316,0.49368421052631584,0.5542105263157895,0.5078947368421052,0.5736842105263158,0.5473684210526316,0.5805263157894737,0.5347368421052632,0.4873684210526316,0.5005263157894737,0.5736842105263158,0.5352631578947368,0.5689473684210526,0.5805263157894737,0.5673684210526316,0.5152631578947369,0.5936842105263158,0.5605263157894737,0.5542105263157895,0.5547368421052632,0.5805263157894737,0.5136842105263159,0.5936842105263158,0.506842105263158,0.49368421052631584,0.5936842105263158
tn,36.0,24.0,34.0,36.0,33.0,31.0,36.0,34.0,35.0,30.0,34.0,35.0,36.0,27.0,25.0,35.0,34.0,27.0,36.0,35.0,33.0,30.0,35.0,36.0,36.0,37.0,36.0,36.0
fp,2.0,14.0,4.0,2.0,5.0,7.0,2.0,4.0,3.0,8.0,4.0,3.0,2.0,11.0,13.0,3.0,4.0,11.0,2.0,3.0,5.0,8.0,3.0,2.0,2.0,1.0,2.0,2.0
fn,20.0,14.0,23.0,24.0,19.0,20.0,20.0,20.0,19.0,18.0,23.0,23.0,20.0,16.0,13.0,19.0,19.0,17.0,19.0,20.0,19.0,17.0,19.0,23.0,19.0,24.0,24.0,19.0
tp,5.0,11.0,2.0,1.0,6.0,5.0,5.0,5.0,6.0,7.0,2.0,2.0,5.0,9.0,12.0,6.0,6.0,8.0,6.0,5.0,6.0,8.0,6.0,2.0,6.0,1.0,1.0,6.0
acc_test1,0.7619047619047619,0.6190476190476191,0.6666666666666666,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.6190476190476191,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.7619047619047619
precision1,0.75,0.42857142857142855,0.5,1.0,0.75,0.6,0.75,0.5,0.6,0.75,0.6666666666666666,1.0,0.75,0.5,0.42857142857142855,0.6,0.75,0.5,0.75,0.6666666666666666,0.75,0.5,0.6,1.0,0.75,1.0,1.0,0.75
recall1,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855
f1score1,0.5454545454545454,0.42857142857142855,0.22222222222222224,0.25,0.5454545454545454,0.5,0.5454545454545454,0.36363636363636365,0.5,0.5454545454545454,0.4,0.25,0.5454545454545454,0.4615384615384615,0.42857142857142855,0.5,0.5454545454545454,0.4615384615384615,0.5454545454545454,0.4,0.5454545454545454,0.4615384615384615,0.5,0.25,0.5454545454545454,0.25,0.25,0.5454545454545454
roc1,0.6785714285714286,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.5714285714285714,0.6428571428571429,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6428571428571429,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6428571428571429,0.5714285714285714,0.6785714285714286,0.5714285714285714,0.5714285714285714,0.6785714285714286
tn1,13.0,10.0,13.0,14.0,13.0,12.0,13.0,12.0,12.0,13.0,13.0,14.0,13.0,11.0,10.0,12.0,13.0,11.0,13.0,13.0,13.0,11.0,12.0,14.0,13.0,14.0,14.0,13.0
fp1,1.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0
fn1,4.0,4.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0
tp1,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0
acc_test2,0.5714285714285714,0.6190476190476191,0.47619047619047616,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.47619047619047616,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.47619047619047616,0.5714285714285714
precision2,0.5,0.5555555555555556,0.0,0.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,0.5,0.4,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.0,0.5,0.0,0.0,0.5
recall2,0.1111111111111111,0.5555555555555556,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
f1score2,0.1818181818181818,0.5555555555555556,0.0,0.0,0.1818181818181818,0.16666666666666666,0.1818181818181818,0.16666666666666666,0.1818181818181818,0.30769230769230765,0.0,0.16666666666666666,0.1818181818181818,0.2857142857142857,0.47058823529411764,0.1818181818181818,0.16666666666666666,0.15384615384615383,0.1818181818181818,0.1818181818181818,0.16666666666666666,0.3333333333333333,0.1818181818181818,0.0,0.1818181818181818,0.0,0.0,0.1818181818181818
roc2,0.513888888888889,0.6111111111111112,0.4166666666666667,0.4583333333333333,0.513888888888889,0.47222222222222227,0.513888888888889,0.47222222222222227,0.513888888888889,0.5277777777777778,0.4166666666666667,0.47222222222222227,0.513888888888889,0.48611111111111116,0.5555555555555556,0.513888888888889,0.47222222222222227,0.4305555555555556,0.513888888888889,0.513888888888889,0.47222222222222227,0.5694444444444445,0.513888888888889,0.4583333333333333,0.513888888888889,0.5,0.4166666666666667,0.513888888888889
tn2,11.0,8.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0
fp2,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
fn2,8.0,4.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0
tp2,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
acc_test3,0.6190476190476191,0.42857142857142855,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.6666666666666666,0.6190476190476191,0.5238095238095238,0.6666666666666666,0.6190476190476191,0.5714285714285714,0.5238095238095238,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.5714285714285714,0.6666666666666666
precision3,1.0,0.3333333333333333,0.5,0.0,0.4,0.25,1.0,1.0,1.0,0.2857142857142857,0.0,0.0,1.0,0.4444444444444444,0.5,1.0,0.6666666666666666,0.4444444444444444,1.0,0.6666666666666666,0.5,0.42857142857142855,1.0,0.5,1.0,0.0,0.0,1.0
recall3,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222
f1score3,0.19999999999999998,0.3333333333333333,0.1818181818181818,0.0,0.2857142857142857,0.15384615384615383,0.19999999999999998,0.3636363636363636,0.3636363636363636,0.25,0.0,0.0,0.19999999999999998,0.4444444444444444,0.5263157894736842,0.3636363636363636,0.3333333333333333,0.4444444444444444,0.3636363636363636,0.3333333333333333,0.30769230769230765,0.375,0.3636363636363636,0.1818181818181818,0.3636363636363636,0.0,0.0,0.3636363636363636
roc3,0.5555555555555556,0.41666666666666663,0.513888888888889,0.4583333333333333,0.48611111111111116,0.4305555555555556,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.40277777777777773,0.4583333333333333,0.4583333333333333,0.5555555555555556,0.5138888888888888,0.5694444444444444,0.6111111111111112,0.5694444444444445,0.5138888888888888,0.6111111111111112,0.5694444444444445,0.5277777777777778,0.5,0.6111111111111112,0.513888888888889,0.6111111111111112,0.4583333333333333,0.5,0.6111111111111112
tn3,12.0,6.0,11.0,11.0,9.0,9.0,12.0,12.0,12.0,7.0,11.0,11.0,12.0,7.0,7.0,12.0,11.0,7.0,12.0,11.0,10.0,8.0,12.0,11.0,12.0,11.0,12.0,12.0
fp3,0.0,6.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,5.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0
fn3,8.0,6.0,8.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0,9.0,8.0,5.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,9.0,9.0,7.0
tp3,1.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0
