parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.3622278172617969
importance_type,split
learning_rate,0.000890045629333899
max_depth,32
min_child_samples,31
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2159
n_jobs,-1
num_leaves,14
objective,binary
random_state,
reg_alpha,1.2000000000000002
reg_lambda,0.7000000000000001
silent,warn
subsample,0.8161344220285284
subsample_for_bin,230947
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,635
scale_pos_weight,1.0000000000000002
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.5308192787604552
best_index,6.0
acc_train,0.8444444444444444
acc_val,0.6304347826086957
acc_test,0.5614035087719298
precision,0.5882352941176471
recall,0.35714285714285715
f1score,0.4444444444444445
roc,0.5578817733990148
tn,22.0
fp,7.0
fn,18.0
tp,10.0
acc_test1,0.631578947368421
precision1,0.5
recall1,0.14285714285714285
f1score1,0.22222222222222224
roc1,0.5297619047619047
tn1,11.0
fp1,1.0
fn1,6.0
tp1,1.0
acc_test2,0.47368421052631576
precision2,0.625
recall2,0.4166666666666667
f1score2,0.5
roc2,0.49404761904761907
tn2,4.0
fp2,3.0
fn2,7.0
tp2,5.0
acc_test3,0.5789473684210527
precision3,0.5714285714285714
recall3,0.4444444444444444
f1score3,0.5
roc3,0.5722222222222222
tn3,7.0
fp3,3.0
fn3,5.0
tp3,4.0
