parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.3622278172617969,1.0,0.9332036588535947
importance_type,split,split,split
learning_rate,0.000890045629333899,0.004,0.0011847240811834723
max_depth,32,4,18
min_child_samples,31,12,16
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,2159,1213,4781
n_jobs,-1,-1,-1
num_leaves,14,10,10
objective,binary,binary,binary
random_state,,,
reg_alpha,1.2000000000000002,1.0,0.30000000000000004
reg_lambda,0.7000000000000001,1.5,1.2000000000000002
silent,warn,warn,warn
subsample,0.8161344220285284,0.3609086473055145,0.6684947525293031
subsample_for_bin,230947,826301,714473
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
boost_from_average,True,True,False
force_col_wise,true,true,true
max_bin,635,100,473
scale_pos_weight,1.0000000000000002,0.2,0.30000000000000004
cv,5,5,5
scoring,precision,precision,precision
num_col,110,110,93
iterations,10,20,20
best_score,0.5308192787604552,0.6333333333333333,0.5933333333333334
best_index,6.0,10.0,0.0
acc_train,0.8444444444444444,0.6833333333333333,0.9388888888888889
acc_val,0.6304347826086957,0.5652173913043478,0.5652173913043478
acc_test,0.5614035087719298,0.5263157894736842,0.543859649122807
precision,0.5882352941176471,1.0,0.6666666666666666
recall,0.35714285714285715,0.03571428571428571,0.14285714285714285
f1score,0.4444444444444445,0.0689655172413793,0.23529411764705882
roc,0.5578817733990148,0.5178571428571429,0.5369458128078817
tn,22.0,29.0,27.0
fp,7.0,0.0,2.0
fn,18.0,27.0,24.0
tp,10.0,1.0,4.0
acc_test1,0.631578947368421,0.631578947368421,0.631578947368421
precision1,0.5,0.0,0.5
recall1,0.14285714285714285,0.0,0.14285714285714285
f1score1,0.22222222222222224,0.0,0.22222222222222224
roc1,0.5297619047619047,0.5,0.5297619047619047
tn1,11.0,12.0,11.0
fp1,1.0,0.0,1.0
fn1,6.0,7.0,6.0
tp1,1.0,0.0,1.0
acc_test2,0.47368421052631576,0.3684210526315789,0.3684210526315789
precision2,0.625,0.0,0.0
recall2,0.4166666666666667,0.0,0.0
f1score2,0.5,0.0,0.0
roc2,0.49404761904761907,0.5,0.5
tn2,4.0,7.0,7.0
fp2,3.0,0.0,0.0
fn2,7.0,12.0,12.0
tp2,5.0,0.0,0.0
acc_test3,0.5789473684210527,0.5789473684210527,0.631578947368421
precision3,0.5714285714285714,1.0,0.75
recall3,0.4444444444444444,0.1111111111111111,0.3333333333333333
f1score3,0.5,0.19999999999999998,0.46153846153846156
roc3,0.5722222222222222,0.5555555555555556,0.6166666666666667
tn3,7.0,10.0,9.0
fp3,3.0,0.0,1.0
fn3,5.0,8.0,6.0
tp3,4.0,1.0,3.0
