parameter,value2
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.0017
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1100
n_jobs,-1
num_leaves,5
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.2
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,precision
num_col,110
best_score,0.5522435897435898
best_index,1252.0
acc_train,0.95
acc_val,0.6
acc_test,0.6136363636363636
precision,0.5714285714285714
recall,0.6
f1score,0.5853658536585366
roc,0.6125
tn,15.0
fp,9.0
fn,8.0
tp,12.0
acc_test1,0.6428571428571429
precision1,0.42857142857142855
recall1,0.75
f1score1,0.5454545454545454
roc1,0.675
tn1,6.0
fp1,4.0
fn1,1.0
tp1,3.0
acc_test2,0.6428571428571429
precision2,0.7142857142857143
recall2,0.625
f1score2,0.6666666666666666
roc2,0.6458333333333334
tn2,4.0
fp2,2.0
fn2,3.0
tp2,5.0
acc_test3,0.5625
precision3,0.5714285714285714
recall3,0.5
f1score3,0.5333333333333333
roc3,0.5625
tn3,5.0
fp3,3.0
fn3,4.0
tp3,4.0
