parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt
class_weight,,,,,,,,,
colsample_bytree,0.3622278172617969,1.0,0.9332036588535947,0.9332036588535947,1.0,0.9332036588535947,1.0,0.9968650567868235,0.10933486275994007
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.000890045629333899,0.004,0.0011847240811834723,0.0011847240811834723,0.004,0.0011847240811834723,0.004,0.00042604105116202405,0.00020003937281998327
max_depth,32,4,18,18,4,18,4,40,8
min_child_samples,31,12,16,16,12,16,12,40,25
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,8
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2159,1213,4781,4781,1213,4781,1213,2212,5132
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,14,10,10,10,10,10,10,14,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,
reg_alpha,1.2000000000000002,1.0,0.30000000000000004,0.30000000000000004,1.0,0.2,1.0,0.0,1.0
reg_lambda,0.7000000000000001,1.5,1.2000000000000002,1.2000000000000002,1.5,0.6000000000000001,1.5,1.8,0.8
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.8161344220285284,0.3609086473055145,0.6684947525293031,0.6684947525293031,0.3609086473055145,0.6684947525293031,0.36090865995405297,0.09430250304102118,0.9969204043266121
subsample_for_bin,230947,826301,714473,714473,826301,577923,664901,100000,261053
subsample_freq,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1
boost_from_average,True,True,False,False,True,False,True,True,False
force_col_wise,true,true,true,true,true,true,true,true,true
max_bin,635,100,473,473,100,473,100,100,508
scale_pos_weight,1.0000000000000002,0.2,0.30000000000000004,0.30000000000000004,0.2,0.30000000000000004,0.2,1.0000000000000002,0.8000000000000003
cv,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,93,93,110,110,110,110,110
iterations,10,20,20,20,20,20,20,20,20
best_score,0.5308192787604552,0.6333333333333333,0.5933333333333334,0.5933333333333334,0.6333333333333333,0.5614718614718615,0.6333333333333333,0.5563095238095238,0.650909090909091
best_index,6.0,10.0,0.0,0.0,10.0,0.0,10.0,15.0,2.0
acc_train,0.8444444444444444,0.6833333333333333,0.9388888888888889,0.9388888888888889,0.6833333333333333,0.9722222222222222,0.6833333333333333,0.7166666666666667,0.7611111111111111
acc_val,0.6304347826086957,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5869565217391305,0.5652173913043478,0.6086956521739131,0.5434782608695652
acc_test,0.5614035087719298,0.5263157894736842,0.543859649122807,0.543859649122807,0.5263157894736842,0.5087719298245614,0.5263157894736842,0.5087719298245614,0.5263157894736842
precision,0.5882352941176471,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.5,0.6
recall,0.35714285714285715,0.03571428571428571,0.14285714285714285,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.2857142857142857,0.10714285714285714
f1score,0.4444444444444445,0.0689655172413793,0.23529411764705882,0.23529411764705882,0.0689655172413793,0.22222222222222224,0.0689655172413793,0.36363636363636365,0.18181818181818182
roc,0.5578817733990148,0.5178571428571429,0.5369458128078817,0.5369458128078817,0.5178571428571429,0.5024630541871921,0.5178571428571429,0.5049261083743841,0.5190886699507389
tn,22.0,29.0,27.0,27.0,29.0,25.0,29.0,21.0,27.0
fp,7.0,0.0,2.0,2.0,0.0,4.0,0.0,8.0,2.0
fn,18.0,27.0,24.0,24.0,27.0,24.0,27.0,20.0,25.0
tp,10.0,1.0,4.0,4.0,1.0,4.0,1.0,8.0,3.0
acc_test1,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.5263157894736842,0.631578947368421,0.5263157894736842,0.6842105263157895
precision1,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.25,1.0
recall1,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
f1score1,0.22222222222222224,0.0,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.18181818181818182,0.25
roc1,0.5297619047619047,0.5,0.5297619047619047,0.5297619047619047,0.5,0.4166666666666667,0.5,0.4464285714285714,0.5714285714285714
tn1,11.0,12.0,11.0,11.0,12.0,10.0,12.0,9.0,12.0
fp1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0
fn1,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0
tp1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
acc_test2,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.3684210526315789,0.5263157894736842,0.3157894736842105
precision2,0.625,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.0
recall2,0.4166666666666667,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.4166666666666667,0.0
f1score2,0.5,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.5263157894736842,0.0
roc2,0.49404761904761907,0.5,0.5,0.5,0.5,0.5416666666666666,0.5,0.5654761904761906,0.4285714285714286
tn2,4.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0
fp2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
fn2,7.0,12.0,12.0,12.0,12.0,11.0,12.0,7.0,12.0
tp2,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
acc_test3,0.5789473684210527,0.5789473684210527,0.631578947368421,0.631578947368421,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.47368421052631576,0.5789473684210527
precision3,0.5714285714285714,1.0,0.75,0.75,1.0,0.6,1.0,0.4,0.6666666666666666
recall3,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.2222222222222222
f1score3,0.5,0.19999999999999998,0.46153846153846156,0.46153846153846156,0.19999999999999998,0.42857142857142855,0.19999999999999998,0.2857142857142857,0.3333333333333333
roc3,0.5722222222222222,0.5555555555555556,0.6166666666666667,0.6166666666666667,0.5555555555555556,0.5666666666666667,0.5555555555555556,0.46111111111111114,0.5611111111111111
tn3,7.0,10.0,9.0,9.0,10.0,8.0,10.0,7.0,9.0
fp3,3.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0
fn3,5.0,8.0,6.0,6.0,8.0,6.0,8.0,7.0,7.0
tp3,4.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0
