parameter,value2,value3
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.5,0.4
importance_type,split,split
learning_rate,0.0017,0.001
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1100,1000
n_jobs,-1,-1
num_leaves,5,4
objective,binary,binary
random_state,42,42
reg_alpha,0.0,1
reg_lambda,0.0,0.5
silent,warn,warn
subsample,0.2,0.2
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.0
cv,,
scoring,precision,precision
num_col,110,110
best_score,0.5522435897435898,0.56504329004329
best_index,1252.0,28.0
acc_train,0.95,0.8714285714285714
acc_val,0.6,0.6285714285714286
acc_test,0.6136363636363636,0.5909090909090909
precision,0.5714285714285714,0.5555555555555556
recall,0.6,0.5
f1score,0.5853658536585366,0.5263157894736842
roc,0.6125,0.5833333333333334
tn,15.0,16.0
fp,9.0,8.0
fn,8.0,10.0
tp,12.0,10.0
acc_test1,0.6428571428571429,0.7142857142857143
precision1,0.42857142857142855,0.5
recall1,0.75,0.75
f1score1,0.5454545454545454,0.6
roc1,0.675,0.7249999999999999
tn1,6.0,7.0
fp1,4.0,3.0
fn1,1.0,1.0
tp1,3.0,3.0
acc_test2,0.6428571428571429,0.5714285714285714
precision2,0.7142857142857143,0.6666666666666666
recall2,0.625,0.5
f1score2,0.6666666666666666,0.5714285714285715
roc2,0.6458333333333334,0.5833333333333334
tn2,4.0,4.0
fp2,2.0,2.0
fn2,3.0,4.0
tp2,5.0,4.0
acc_test3,0.5625,0.5
precision3,0.5714285714285714,0.5
recall3,0.5,0.375
f1score3,0.5333333333333333,0.42857142857142855
roc3,0.5625,0.5
tn3,5.0,5.0
fp3,3.0,3.0
fn3,4.0,5.0
tp3,4.0,3.0
