parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14
cv,3,5,5,5,5,5,5,5,5,5,5,5,5,5
iterations,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,True,True,False,False,False,True,False,True,True,False,False,False
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart,dart,dart,gbdt,gbdt,dart,gbdt,dart
class_weight,,,,,,,,,,,,,,
colsample_bytree,0.7176236062550132,0.6157596676106798,0.6267522124574585,0.5,0.5626707527856858,0.5,0.8004925150618276,0.5,0.5718139410763393,0.6475593314680674,0.6157596676106798,0.5,0.726006297247348,0.5718139410763393
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00026248182009948627,0.0007488483856867471,0.00020994749113313878,0.0036058512466152926,0.00047374090488524947,0.00013015019264221275,0.0001,0.00020877559239484275,0.0037377954910730576,0.0001,0.0007488483856867471,0.0001,0.0003067352195099863,0.0037377954910730576
max_bin,929,129,1000,100,222,132,1000,204,507,911,129,409,297,507
max_depth,25,42,22,0,39,12,24,0,1,17,42,0,24,1
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,30,38,25,40,40,40,30,32,34,31,38,40,14,34
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.237317277992457,3.487831801103267,0.001,0.4385861810797097,0.7367237530180955,2.237317277992457
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3367,2948,1526,1552,2284,4584,3100,700,700,1175,2948,3491,3531,700
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,11,20,3,3,8,19,16,14,8,11,20,11,6,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,2.5867015607068633,3.9595926503114685,0.8693018841987736,4.0,2.352823232518666,2.6277624153813415,3.0,1.947693356852814,0.8823719654473086,0.0,3.9595926503114685,2.1985289875642056,2.280172132600093,0.8823719654473086
reg_lambda,1.5124129402650384,4.0,5.0,4.0,2.298022991725613,3.0,2.4412439079622383,1.4775682927642324,2.9116005566188408,4.0,4.0,4.0,2.600968586434294,2.9116005566188408
scale_pos_weight,0.7740449025394833,0.6214303206979717,0.7381637117646469,0.7068879201847038,0.5122330363522016,0.8126898821818291,0.7570032001984563,0.9749887790471228,0.5842332513010704,1.9654974249053674,0.6214303206979717,0.7339253490735678,0.5295177882318176,0.5842332513010704
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1.0,1.0,0.3678813206767818,1.0,0.005,0.7187119342118184,0.8430261032608413,1.0,0.3358690149194056,0.07080220249063664,1.0,0.37921788279959034,0.0772921693106915,0.3358690149194056
subsample_for_bin,430343,297932,404270,500000,418611,100000,449469,332639,328749,133949,297932,113865,246831,328749
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.662907268170426,0.692063492063492,0.7125541125541125,0.7008857808857809,0.7003663003663003,0.6616116047694994,0.6421212121212121,0.6709523809523809,0.6786879786879786,0.6572494172494172,0.692063492063492,0.646105006105006,0.663888888888889,0.6786879786879786
best_index,47.0,27.0,33.0,49.0,24.0,49.0,38.0,46.0,44.0,46.0,27.0,40.0,37.0,44.0
acc_train,0.7114427860696517,0.6915422885572139,0.6517412935323383,0.7412935323383084,0.6766169154228856,0.6915422885572139,0.6915422885572139,0.7014925373134329,0.6218905472636815,0.7263681592039801,0.6915422885572139,0.6915422885572139,0.7562189054726368,0.6218905472636815
acc_val,0.5686274509803921,0.6078431372549019,0.6078431372549019,0.5490196078431373,0.5294117647058824,0.6078431372549019,0.5490196078431373,0.6078431372549019,0.5686274509803921,0.5882352941176471,0.6078431372549019,0.5882352941176471,0.6470588235294118,0.5686274509803921
acc_test,0.59375,0.65625,0.640625,0.65625,0.640625,0.625,0.5625,0.65625,0.640625,0.578125,0.65625,0.640625,0.609375,0.640625
train_precision,0.7878787878787878,0.8269230769230769,0.825,0.9074074074074074,0.8780487804878049,0.7361111111111112,0.7236842105263158,0.86,0.7941176470588235,0.8059701492537313,0.8269230769230769,0.75,0.9607843137254902,0.7941176470588235
train_tn,91.0,96.0,98.0,100.0,100.0,86.0,84.0,98.0,98.0,92.0,96.0,88.0,103.0,98.0
train_fp,14.0,9.0,7.0,5.0,5.0,19.0,21.0,7.0,7.0,13.0,9.0,17.0,2.0,7.0
train_fn,44.0,53.0,63.0,47.0,60.0,43.0,41.0,53.0,69.0,42.0,53.0,45.0,47.0,69.0
train_tp,52.0,43.0,33.0,49.0,36.0,53.0,55.0,43.0,27.0,54.0,43.0,51.0,49.0,27.0
val_precision,0.55,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.5,0.5833333333333334,0.5172413793103449,0.6666666666666666,0.6666666666666666,0.5652173913043478,0.6666666666666666,0.5714285714285714,0.75,0.6666666666666666
val_tn,18.0,23.0,23.0,20.0,23.0,17.0,13.0,23.0,25.0,17.0,23.0,18.0,24.0,25.0
val_fp,9.0,4.0,4.0,7.0,4.0,10.0,14.0,4.0,2.0,10.0,4.0,9.0,3.0,2.0
val_fn,13.0,16.0,16.0,16.0,20.0,10.0,9.0,16.0,20.0,11.0,16.0,12.0,15.0,20.0
