parameter,value1,value2,value3,value6,value7,value8,value9,value10,value11,value12,value13
cv,3,3,3,3,3,3,3,3,3,3,3
iterations,50,50,80,80,80,80,80,80,80,30,30
num_col,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,accuracy,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,True,True,True,True,True,True,True,False,True
boosting_type,dart,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,dart,gbdt,gbdt
class_weight,,,,,,,,,,,
colsample_bytree,0.6000568421245674,0.6463049316342903,0.1362480225989656,0.005,0.44629467829583414,0.8708951077346616,0.05027988178122637,0.38825677268472714,0.6628701770642191,0.005,0.7067864935968099
force_col_wise,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00014220821962091613,0.0002292682704579061,0.0002135192347771785,0.003218548999609861,0.00012477884514222238,0.0010817251372806044,0.0038452824565650785,0.0008673463539578376,0.00012945704900013045,0.00035990132981088047,0.0001
max_bin,780,511,301,100,839,588,100,669,286,1000,1300
max_depth,44,50,48,0,42,37,50,21,33,0,30
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,32,5,30,5,23,15,26,9,39,26
min_child_weight,0.001,0.001,0.001,4,7,4,1,4.0,2.25735255174969,0.5,3.289158969530568
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2169,2659,4068,1237,2477,4483,3099,3156,4946,700,4557
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,13,12,12,12,11,5,4,11,10,15,4
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.13143211015481662,3.1231152412622967,2.2488515115927084,2.4245201714279045,5.0,5.0,1.113286994900212,3.9118450399984694,3.4162767813131985,0.0,0.0
reg_lambda,4.823502953560004,5.0,3.186686069363887,1.6740933445589268,3.765797955418744,2.3811594559658817,7.0,7.0,1.139310314495017,2.0,4.0
scale_pos_weight,1.0030093195251475,1.2180384696842068,0.9912015308980056,0.8545938485549711,1.4769072235646792,0.8964625820622436,0.6351655908983774,0.7059839448278484,0.7537175424077844,0.9657338870231282,0.9549688591600693
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.31751717937863017,0.8799158160746033,0.915239148378554,0.04262126495181424,0.4994202157673615,0.13829150861230155,0.8518568298088925,0.5673428435273802,0.17926257023556164,0.005,0.005
subsample_for_bin,123375,464859,428290,100000,210759,481691,263637,288710,283280,100000,500000
subsample_freq,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6650241545893719,0.6753690753690753,0.6990740740740741,0.7294685990338164,0.77,0.6771929824561403,0.7185185185185184,0.7167919799498748,0.7086940836940837,0.732936507936508,0.7416666666666667
best_index,3.0,48.0,63.0,33.0,40.0,55.0,27.0,24.0,51.0,19.0,23.0
acc_train,0.8071065989847716,0.7055837563451777,0.8629441624365483,0.7055837563451777,0.7411167512690355,0.8121827411167513,0.7258883248730964,0.751269035532995,0.8121827411167513,0.6802030456852792,0.6852791878172588
acc_val,0.74,0.68,0.64,0.6,0.64,0.66,0.56,0.64,0.7,0.58,0.68
acc_test,0.5,0.5,0.5483870967741935,0.6290322580645161,0.5645161290322581,0.532258064516129,0.6290322580645161,0.5483870967741935,0.5645161290322581,0.6290322580645161,0.5
precision,0.3870967741935484,0.4,0.3888888888888889,0.5454545454545454,0.42105263157894735,0.4074074074074074,0.5555555555555556,0.375,0.43478260869565216,0.5454545454545454,0.3333333333333333
recall,0.5,0.5833333333333334,0.2916666666666667,0.25,0.3333333333333333,0.4583333333333333,0.20833333333333334,0.25,0.4166666666666667,0.25,0.2916666666666667
f1score,0.43636363636363634,0.4745762711864407,0.3333333333333333,0.34285714285714286,0.372093023255814,0.4313725490196078,0.30303030303030304,0.3,0.425531914893617,0.34285714285714286,0.3111111111111111
roc,0.5,0.5153508771929824,0.5010964912280702,0.5592105263157895,0.5219298245614035,0.518640350877193,0.5515350877192982,0.493421052631579,0.537280701754386,0.5592105263157895,0.4616228070175439
tn,19.0,17.0,27.0,33.0,27.0,22.0,34.0,28.0,25.0,33.0,24.0
fp,19.0,21.0,11.0,5.0,11.0,16.0,4.0,10.0,13.0,5.0,14.0
fn,12.0,10.0,17.0,18.0,16.0,13.0,19.0,18.0,14.0,18.0,17.0
