parameter,value1
cv,3
iterations,50
num_col,98
scoring,precision
boost_from_average,True
boosting_type,dart
class_weight,
colsample_bytree,0.6000568421245674
force_col_wise,true
importance_type,split
learning_rate,0.00014220821962091613
max_bin,780
max_depth,44
metric,binary_logloss
min_child_samples,19
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2169
n_jobs,-1
num_leaves,13
objective,binary
random_state,42
reg_alpha,0.13143211015481662
reg_lambda,4.823502953560004
scale_pos_weight,1.0030093195251475
silent,warn
subsample,0.31751717937863017
subsample_for_bin,123375
subsample_freq,0
verbose,0
best_score,0.6650241545893719
best_index,3.0
acc_train,0.8071065989847716
acc_val,0.74
acc_test,0.5
precision,0.3870967741935484
recall,0.5
f1score,0.43636363636363634
roc,0.5
tn,19.0
fp,19.0
fn,12.0
tp,12.0
acc_test1,0.5
precision1,0.4166666666666667
recall1,0.625
f1score1,0.5
roc1,0.5208333333333333
tn1,5.0
fp1,7.0
fn1,3.0
tp1,5.0
acc_test2,0.6
precision2,0.5
recall2,0.625
f1score2,0.5555555555555556
roc2,0.6041666666666666
tn2,7.0
fp2,5.0
fn2,3.0
tp2,5.0
acc_test3,0.4090909090909091
precision3,0.2222222222222222
recall3,0.25
f1score3,0.23529411764705882
roc3,0.375
tn3,7.0
fp3,7.0
fn3,6.0
tp3,2.0
