parameter,value1,value2,value3
cv,3,3,3
iterations,50,50,80
num_col,98,98,98
scoring,precision,accuracy,precision
boost_from_average,True,True,True
boosting_type,dart,dart,gbdt
class_weight,,,
colsample_bytree,0.6000568421245674,0.6463049316342903,0.1362480225989656
force_col_wise,true,true,true
importance_type,split,split,split
learning_rate,0.00014220821962091613,0.0002292682704579061,0.0002135192347771785
max_bin,780,511,301
max_depth,44,50,48
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,32,5
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,2169,2659,4068
n_jobs,-1,-1,-1
num_leaves,13,12,12
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,0.13143211015481662,3.1231152412622967,2.2488515115927084
reg_lambda,4.823502953560004,5.0,3.186686069363887
scale_pos_weight,1.0030093195251475,1.2180384696842068,0.9912015308980056
silent,warn,warn,warn
subsample,0.31751717937863017,0.8799158160746033,0.915239148378554
subsample_for_bin,123375,464859,428290
subsample_freq,0,0,0
verbose,0,0,0
best_score,0.6650241545893719,0.6753690753690753,0.6990740740740741
best_index,3.0,48.0,63.0
acc_train,0.8071065989847716,0.7055837563451777,0.8629441624365483
acc_val,0.74,0.68,0.64
acc_test,0.5,0.5,0.5483870967741935
precision,0.3870967741935484,0.4,0.3888888888888889
recall,0.5,0.5833333333333334,0.2916666666666667
f1score,0.43636363636363634,0.4745762711864407,0.3333333333333333
roc,0.5,0.5153508771929824,0.5010964912280702
tn,19.0,17.0,27.0
fp,19.0,21.0,11.0
fn,12.0,10.0,17.0
tp,12.0,14.0,7.0
acc_test1,0.5,0.45,0.5
precision1,0.4166666666666667,0.38461538461538464,0.0
recall1,0.625,0.625,0.0
f1score1,0.5,0.4761904761904762,0.0
roc1,0.5208333333333333,0.4791666666666667,0.4166666666666667
tn1,5.0,4.0,10.0
fp1,7.0,8.0,2.0
fn1,3.0,3.0,8.0
tp1,5.0,5.0,0.0
acc_test2,0.6,0.65,0.65
precision2,0.5,0.5454545454545454,0.5555555555555556
recall2,0.625,0.75,0.625
f1score2,0.5555555555555556,0.631578947368421,0.5882352941176471
roc2,0.6041666666666666,0.6666666666666666,0.6458333333333334
tn2,7.0,7.0,8.0
fp2,5.0,5.0,4.0
fn2,3.0,2.0,3.0
tp2,5.0,6.0,5.0
acc_test3,0.4090909090909091,0.4090909090909091,0.5
precision3,0.2222222222222222,0.2727272727272727,0.2857142857142857
recall3,0.25,0.375,0.25
f1score3,0.23529411764705882,0.3157894736842105,0.26666666666666666
roc3,0.375,0.4017857142857143,0.4464285714285714
tn3,7.0,6.0,9.0
fp3,7.0,8.0,5.0
fn3,6.0,5.0,6.0
tp3,2.0,3.0,2.0
