parameter,value1
boosting_type,dart
class_weight,
colsample_bytree,0.528987135942054
importance_type,split
learning_rate,0.0028055967090060275
max_depth,21
min_child_samples,17
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2217
n_jobs,-1
num_leaves,9
objective,binary
random_state,
reg_alpha,0.5
reg_lambda,0.5
silent,warn
subsample,0.9860608005968848
subsample_for_bin,116672
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,745
scale_pos_weight,0.7000000000000002
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.5615584415584416
best_index,4.0
acc_train,0.9728260869565217
acc_val,0.45652173913043476
acc_test,0.4482758620689655
precision,0.30434782608695654
recall,0.30434782608695654
f1score,0.30434782608695654
roc,0.42360248447204973
tn,19.0
fp,16.0
fn,16.0
tp,7.0
acc_test1,0.3157894736842105
precision1,0.4
recall1,0.16666666666666666
f1score1,0.23529411764705882
roc1,0.369047619047619
tn1,4.0
fp1,3.0
fn1,10.0
tp1,2.0
acc_test2,0.5789473684210527
precision2,0.36363636363636365
recall2,0.8
f1score2,0.5000000000000001
roc2,0.65
tn2,7.0
fp2,7.0
fn2,1.0
tp2,4.0
acc_test3,0.45
precision3,0.14285714285714285
recall3,0.16666666666666666
f1score3,0.15384615384615383
roc3,0.369047619047619
tn3,8.0
fp3,6.0
fn3,5.0
tp3,1.0
