parameter,value1
cv,3
iterations,50
num_col,98
scoring,precision
boost_from_average,False
boosting_type,gbdt
class_weight,
colsample_bytree,1.0
force_col_wise,true
importance_type,gain
learning_rate,0.004
max_bin,100
max_depth,50
metric,binary_logloss
min_child_samples,5
min_child_weight,0.001
min_split_gain,0.0
n_estimators,700
n_jobs,-1
num_leaves,3
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
scale_pos_weight,0.2
silent,warn
subsample,1.0
subsample_for_bin,500000
subsample_freq,0
verbose,0
best_score,0.7722222222222223
best_index,18.0
acc_train,0.5969387755102041
acc_val,0.3877551020408163
acc_test,0.5967741935483871
precision,0.2857142857142857
recall,0.09090909090909091
f1score,0.13793103448275862
roc,0.4829545454545454
tn,35.0
fp,5.0
fn,20.0
tp,2.0
acc_test1,0.65
precision1,0.0
recall1,0.0
f1score1,0.0
roc1,0.4642857142857143
tn1,13.0
fp1,1.0
fn1,6.0
tp1,0.0
acc_test2,0.65
precision2,0.25
recall2,0.2
f1score2,0.22222222222222224
roc2,0.5
tn2,12.0
fp2,3.0
fn2,4.0
tp2,1.0
acc_test3,0.5
precision3,0.5
recall3,0.09090909090909091
f1score3,0.15384615384615385
roc3,0.49999999999999994
tn3,10.0
fp3,1.0
fn3,10.0
tp3,1.0
