parameter,iter_1,iter_2,iter_3
boost_from_average,"[True, False]","[True, False]","[True, False]"
boost_from_average,True,False,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,gbdt,dart
class_weight,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.5,0.6099672844453498,0.911571435331215
cv,5,5,5
cv,5,5,5
force_col_wise,['true'],['true'],['true']
force_col_wise,true,true,true
importance_type,split,split,split
importance_type,['split'],['split'],['split']
iterations,50,50,50
iterations,50,50,50
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
learning_rate,0.00044933055631555624,0.001718649856363353,0.00012244880971848005
max_bin,613,769,864
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,44,9,35
max_depth,"(0, 50)","(0, 50)","(0, 50)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,9,11,25
min_child_samples,"(5, 40)","(5, 40)","(5, 40)"
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 3000)","(700, 3000)"
n_estimators,1675,769,2770
n_jobs,-1,-1,-1
num_col,98,98,98
num_col,98,98,98
num_leaves,"(3, 20)","(3, 20)","(3, 20)"
num_leaves,4,15,4
objective,['binary'],['binary'],['binary']
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')"
reg_alpha,0.24072356364789302,0.0,0.028925544728536888
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_lambda,3.234125471136539,0.5462514387454385,3.7160292708822946
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.7513037813149239,0.2,0.6059670490110723
scoring,precision,precision,precision
scoring,precision,precision,precision
silent,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,0.5064132099260069,1.0,0.8784173408199004
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_for_bin,184028,268934,280748
subsample_freq,0,0,0
verbose,0,0,0
best_score,0.95,1.0,0.8106060606060606
best_index,13.0,44.0,26.0
acc_train,0.729064039408867,0.7438423645320197,0.6812749003984063
acc_val,0.5882352941176471,0.5882352941176471,0.0
acc_test,0.609375,0.59375,0.5625
train_precision,0.96875,1.0,0.7659574468085106
train_tn,117.0,118.0,135.0
train_fp,1.0,0.0,11.0
train_fn,54.0,52.0,69.0
train_tp,31.0,33.0,36.0
val_precision,0.5,0.5,0.0
val_tn,27.0,28.0,0.0
val_fp,3.0,2.0,2.0
val_fn,18.0,19.0,1.0
val_tp,3.0,2.0,0.0
test_precision,0.8571428571428571,1.0,0.6666666666666666
recall,0.2,0.13333333333333333,0.13333333333333333
f1score,0.32432432432432434,0.23529411764705882,0.2222222222222222
roc,0.5852941176470587,0.5666666666666667,0.5372549019607843
test_tn,33.0,34.0,32.0
test_fp,1.0,0.0,2.0
test_fn,24.0,26.0,26.0
test_tp,6.0,4.0,4.0
acc_test1,0.6666666666666666,0.7619047619047619,0.6666666666666666
precision1,0.5,1.0,0.5
recall1,0.14285714285714285,0.2857142857142857,0.14285714285714285
f1score1,0.22222222222222224,0.4444444444444445,0.22222222222222224
roc1,0.5357142857142857,0.6428571428571428,0.5357142857142857
tn1,13.0,14.0,13.0
fp1,1.0,0.0,1.0
fn1,6.0,5.0,6.0
tp1,1.0,2.0,1.0
acc_test2,0.5238095238095238,0.42857142857142855,0.42857142857142855
precision2,1.0,1.0,0.6666666666666666
recall2,0.23076923076923078,0.07692307692307693,0.15384615384615385
f1score2,0.375,0.14285714285714288,0.25
roc2,0.6153846153846154,0.5384615384615384,0.5144230769230769
tn2,8.0,8.0,7.0
fp2,0.0,0.0,1.0
fn2,10.0,12.0,11.0
tp2,3.0,1.0,2.0
acc_test3,0.6363636363636364,0.5909090909090909,0.5909090909090909
precision3,1.0,1.0,1.0
recall3,0.2,0.1,0.1
f1score3,0.33333333333333337,0.18181818181818182,0.18181818181818182
roc3,0.6,0.55,0.55
tn3,12.0,12.0,12.0
fp3,0.0,0.0,0.0
fn3,8.0,9.0,9.0
tp3,2.0,1.0,1.0
